0,1,2,3,4,5,6,7,8,9,10,11,12
0,2019-4-16 0,7,27,7,8,32,0.9,18.6,0,1009.8,2,208.3
1,2019-4-16 1,7,25,9,6,35,0.9,18.5,0,1009.2,1,152.7
2,2019-4-16 2,6,25,4,6,37,0.9,18.5,0,1008.4,0.6,152.7
3,2019-4-16 3,6,22,10,7,44,0.9,18.5,0,1007.5,0.9,183.3
4,2019-4-16 4,7,21,4,9,45,0.8,18.4,0,1006.6,0.8,187.9
5,2019-4-16 5,7,21,13,10,43,0.8,18.5,0,1006.2,1.3,179.2
6,2019-4-16 6,7,26,4,10,36,0.9,18.6,0,1007.2,1.1,108.7
7,2019-4-16 7,7,29,8,8,27,1,18.8,0,1008,1.7,158.3
8,2019-4-16 8,7,32,8,6,21,1,18.9,0,1008.8,1.2,251.6
9,2019-4-16 9,7,31,2,5,24,1.2,18.4,0,1008.6,0.7,203.5
10,2019-4-16 10,7,33,1,5,25,1.2,18.7,0,1008.6,0.8,314.9
11,2019-4-16 11,8,37,11,9,20,1.1,19.3,0,1009,1.2,46.1
12,2019-4-16 12,8,30,11,11,39,1,20.8,0,1008.5,1.1,306
13,2019-4-16 13,7,32,28,16,48,1.1,21.6,0,1007.9,1.4,270
14,2019-4-16 14,7,24,20,10,68,1,21.9,0,1007.2,0.9,282.6
15,2019-4-16 15,7,22,12,11,71,1,22.5,0,1006.8,0.9,240.9
16,2019-4-16 16,7,23,8,14,81,1,23.6,0,1006,1.2,280.4
17,2019-4-16 17,7,26,20,15,86,1,24.2,0,1005.7,1.1,299
18,2019-4-16 18,7,29,29,14,81,1,24.6,0,1005.8,0.6,326.6
19,2019-4-16 19,7,32,20,14,73,1.1,24.3,0,1005.9,0.6,251
20,2019-4-16 20,7,45,34,25,52,1.5,23.5,0,1006.2,1,179.3
21,2019-4-16 21,7,62,54,31,23,1.9,22.9,0,1006.9,0.6,170.5
22,2019-4-16 22,8,77,62,32,5,2.2,22.3,0,1007.6,0.4,109.4
23,2019-4-16 23,8,67,71,32,4,2.8,22.2,0,1007.9,0.5,165.7
24,2019-4-17 0,8,67,68,30,4,2.3,21.6,0,1008,0.5,315.3
25,2019-4-17 1,8,62,61,36,4,1.5,21.1,0,1007.9,0.3,305.5
26,2019-4-17 2,8,50,56,33,4,1.4,21,0,1007.6,0.8,188.8
27,2019-4-17 3,8,43,37,26,4,1.3,20.6,0,1007.1,0.6,173.8
