,1,2,3,4,5,6,7,8,9,10,11,12
11087,2020-7-23 0,9,9,14,5,36,0.4,28.9,88,1008.5,2.1,101.7
11088,2020-7-23 1,8,8,8,4,33,0.4,28.8,89,1008.2,2.0,106.9
11089,2020-7-23 2,8,10,11,5,30,0.4,28.6,90,1007.7,2.1,103.2
11090,2020-7-23 3,9,11,12,5,26,0.4,28.3,92,1007.7,2.1,102.5
11091,2020-7-23 4,9,14,12,5,20,0.4,27.7,96,1007.8,1.3,147.5
11092,2020-7-23 5,8,12,4,5,22,0.4,27.6,93,1007.8,0.8,127.1
11093,2020-7-23 6,8,12,10,5,20,0.4,27.6,92,1008.0,1.0,191.1
11094,2020-7-23 7,9,20,27,8,9,0.5,27.6,92,1008.6,1.0,334.7
11095,2020-7-23 8,8,18,16,6,17,0.5,30.9,80,1008.7,1.0,357.3
11096,2020-7-23 9,8,11,19,5,31,0.5,34.3,63,1008.7,1.4,102.2
11097,2020-7-23 10,9,11,26,6,47,0.4,34.3,63,1008.8,1.7,118.5
11098,2020-7-23 11,8,10,27,7,67,0.5,34.5,61,1008.7,2.3,147.3
11099,2020-7-23 12,9,8,25,7,72,0.5,34.5,61,1008.3,1.8,124.9
11100,2020-7-23 13,8,5,23,7,74,0.4,34.1,61,1007.8,2.1,113.7
11101,2020-7-23 14,9,5,17,7,76,0.4,33.8,63,1007.3,2.5,115.0
11102,2020-7-23 15,9,7,27,8,72,0.4,34.9,60,1006.9,2.3,120.0
11103,2020-7-23 16,8,8,36,8,61,0.4,35.6,54,1006.5,2.0,119.3
11104,2020-7-23 17,8,7,31,6,60,0.4,35.6,55,1006.2,1.8,104.2
11105,2020-7-23 18,8,11,36,5,68,0.4,35.0,55,1005.9,2.2,151.1
11106,2020-7-23 19,8,9,23,5,69,0.4,32.9,60,1006.1,2.6,150.4
11107,2020-7-23 20,8,9,15,6,54,0.4,31.2,65,1006.7,2.2,136.5
11108,2020-7-23 21,8,10,9,5,46,0.4,30.5,67,1007.3,2.1,142.6
11109,2020-7-23 22,9,15,9,5,40,0.4,29.9,71,1007.8,2.6,152.5
11110,2020-7-23 23,8,9,3,4,43,0.4,29.6,74,1008.1,2.2,146.4
11111,2020-7-24 0,9,7,6,3,44,0.4,29.4,74,1008.2,1.6,152.0
11112,2020-7-24 1,8,10,5,4,37,0.4,29.1,75,1008.0,1.2,196.3
11113,2020-7-24 2,8,25,17,5,14,0.4,28.4,80,1007.8,1.2,339.0
11114,2020-7-24 3,8,18,16,4,21,0.4,28.1,82,1007.3,1.0,345.2
11115,2020-7-24 4,8,23,13,3,12,0.5,27.8,82,1007.2,0.8,4.4
11116,2020-7-24 5,8,28,13,3,7,0.5,27.6,84,1007.4,0.9,352.2
11117,2020-7-24 6,8,29,17,4,4,0.6,27.4,85,1007.8,0.7,351.2
11118,2020-7-24 7,8,28,20,6,5,0.6,27.6,85,1008.3,0.8,1.6
11119,2020-7-24 8,9,27,28,5,14,0.6,31.8,71,1008.7,0.6,320.2
11120,2020-7-24 9,9,22,34,5,30,0.5,34.3,60,1008.9,1.8,251.3
11121,2020-7-24 10,10,17,29,4,38,0.5,34.6,58,1008.9,1.5,275.9
11122,2020-7-24 11,8,13,22,5,55,0.5,35.0,56,1008.3,1.9,197.4
11123,2020-7-24 12,8,16,23,6,76,0.5,35.2,57,1007.8,1.5,105.3
11124,2020-7-24 13,8,10,32,5,108,0.5,35.0,57,1007.0,2.2,117.7
11125,2020-7-24 14,8,8,27,5,107,0.5,35.4,58,1006.2,2.1,96.0
11126,2020-7-24 15,8,8,40,5,108,0.5,35.7,57,1005.6,2.0,111.1
11127,2020-7-24 16,8,10,26,6,120,0.5,36.9,54,1005.0,1.9,93.9
11128,2020-7-24 17,9,13,36,7,119,0.5,36.3,57,1004.5,2.2,112.3
11129,2020-7-24 18,9,10,28,6,116,0.5,35.3,58,1004.2,2.4,139.9
11130,2020-7-24 19,9,15,19,8,102,0.5,33.3,64,1004.3,2.5,148.5
11131,2020-7-24 20,9,20,25,10,74,0.5,31.9,70,1004.9,1.3,135.2
11132,2020-7-24 21,9,31,27,12,51,0.5,31.7,72,1005.5,1.2,107.0
11133,2020-7-24 22,11,37,40,11,34,0.5,31.2,76,1006.1,1.0,95.9
11134,2020-7-24 23,11,35,36,10,27,0.5,30.7,78,1006.5,0.8,96.5
11135,2020-7-25 0,10,29,23,8,31,0.5,30.3,77,1006.6,1.5,130.8
11136,2020-7-25 1,10,32,14,8,24,0.5,29.7,79,1006.5,1.0,260.5
11137,2020-7-25 2,9,27,15,10,26,0.5,29.4,79,1006.4,1.4,279.8
11138,2020-7-25 3,9,26,14,9,25,0.5,29.2,80,1006.2,1.4,298.6
11139,2020-7-25 4,9,33,16,9,13,0.5,28.7,82,1006.1,1.0,279.1
11140,2020-7-25 5,9,27,15,9,17,0.5,28.8,81,1006.0,1.7,271.3
11141,2020-7-25 6,9,33,13,8,8,0.5,28.4,83,1006.1,1.3,320.9
11142,2020-7-25 7,10,32,27,10,10,0.6,29.0,80,1006.5,0.7,211.4
11143,2020-7-25 8,10,26,26,7,17,0.6,32.2,68,1006.7,1.4,230.7
11144,2020-7-25 9,10,25,28,5,23,0.5,32.6,67,1006.8,2.4,258.2
11145,2020-7-25 10,10,28,38,6,29,0.6,33.4,64,1006.7,1.9,262.9
11146,2020-7-25 11,10,26,40,8,64,0.6,35.0,57,1006.7,1.9,266.2
11147,2020-7-25 12,10,18,44,10,125,0.6,36.4,51,1006.2,1.6,318.1
11148,2020-7-25 13,10,12,44,6,113,0.5,35.2,60,1005.6,2.0,127.0
11149,2020-7-25 14,10,10,24,6,126,0.5,35.8,58,1004.9,2.0,112.5
11150,2020-7-25 15,10,10,42,8,135,0.5,35.9,57,1004.4,1.8,109.6
11151,2020-7-25 16,10,14,57,9,141,0.5,36.9,54,1003.8,1.6,114.1
11152,2020-7-25 17,10,12,49,7,130,0.5,34.9,61,1003.4,2.2,121.6
11153,2020-7-25 18,9,10,21,7,116,0.5,34.0,63,1003.6,2.4,142.7
11154,2020-7-25 19,10,10,16,6,100,0.5,32.4,65,1004.0,2.3,139.4
11155,2020-7-25 20,10,14,23,8,88,0.5,31.7,69,1004.8,2.0,139.1
11156,2020-7-25 21,10,18,24,8,66,0.5,31.2,73,1005.3,1.1,131.1
11157,2020-7-25 22,10,27,28,9,42,0.5,30.6,76,1005.6,1.4,94.2
11158,2020-7-25 23,10,23,30,7,35,0.5,30.2,77,1006.3,1.2,102.9
11159,2020-7-26 0,10,23,21,6,28,0.5,29.8,78,1006.4,1.2,122.4
11160,2020-7-26 1,10,27,16,6,20,0.5,29.2,80,1006.1,0.8,193.2
