,1,2,3,4,5,6,7,8,9,10,11,12
11004,2020-7-23 0,9,41,21,16,60,0.6,31.7,62,1003.5,2.0,299.1
11005,2020-7-23 1,10,47,8,14,23,0.6,31.1,63,1003.4,1.7,325.8
11006,2020-7-23 2,14,51,23,18,14,0.6,30.4,68,1003.5,1.3,346.6
11007,2020-7-23 3,14,46,38,18,13,0.6,30.1,70,1003.6,1.6,326.6
11008,2020-7-23 4,11,34,21,19,15,0.5,29.6,72,1003.6,2.1,305.0
11009,2020-7-23 5,11,34,18,20,12,0.5,29.0,76,1003.6,1.3,342.1
11010,2020-7-23 6,14,37,14,17,9,0.5,29.0,77,1003.8,1.2,352.7
11011,2020-7-23 7,15,34,29,17,10,0.5,28.9,78,1004.1,1.4,355.4
11012,2020-7-23 8,15,33,30,28,14,0.6,28.9,77,1004.6,1.2,200.5
11013,2020-7-23 9,14,35,31,76,16,0.7,29.7,75,1004.8,1.1,193.4
11014,2020-7-23 10,12,26,33,80,44,0.6,31.2,68,1004.8,1.2,294.3
11015,2020-7-23 11,11,25,45,77,64,0.6,31.3,66,1004.6,1.3,332.0
11016,2020-7-23 12,10,21,50,76,108,0.6,32.5,61,1004.4,1.3,289.6
11017,2020-7-23 13,10,15,42,62,124,0.6,33.5,57,1003.7,1.3,288.4
11018,2020-7-23 14,11,13,34,126,130,0.4,34.2,53,1002.9,1.8,336.4
11019,2020-7-23 15,10,15,43,28,146,0.5,34.9,50,1002.4,1.9,4.1
11020,2020-7-23 16,9,9,39,31,159,0.5,35.5,48,1001.8,1.9,359.6
11021,2020-7-23 17,9,32,48,32,166,0.5,36.0,46,1001.4,2.0,357.8
11022,2020-7-23 18,9,9,36,28,140,0.5,36.1,45,1001.1,1.8,11.9
11023,2020-7-23 19,8,29,50,25,121,0.5,35.7,46,1001.1,1.7,13.9
11024,2020-7-23 20,7,30,53,30,124,0.5,35.0,48,1001.3,1.0,324.4
11025,2020-7-23 21,7,32,52,45,117,0.6,34.3,52,1001.8,1.0,192.2
11026,2020-7-23 22,6,34,75,33,135,0.6,33.4,59,1002.5,1.2,270.0
11027,2020-7-23 23,7,39,73,16,89,0.6,32.9,61,1003.1,1.7,316.3
11028,2020-7-24 0,8,38,59,4,50,0.6,32.3,64,1003.6,1.6,326.6
11029,2020-7-24 1,9,36,44,4,27,0.6,31.7,64,1003.6,1.9,317.6
11030,2020-7-24 2,9,34,33,3,17,0.5,31.2,66,1003.5,1.9,315.7
11031,2020-7-24 3,9,31,25,3,14,0.5,30.6,69,1003.0,1.8,315.5
11032,2020-7-24 4,10,27,33,2,14,0.4,30.2,72,1002.9,1.8,316.6
11033,2020-7-24 5,9,22,27,2,17,0.4,30.0,71,1003.0,1.9,318.8
11034,2020-7-24 6,9,20,19,2,18,0.4,29.7,71,1003.3,1.7,316.4
11035,2020-7-24 7,10,28,31,1,11,0.5,29.8,74,1003.9,0.8,310.1
11036,2020-7-24 8,11,27,35,1,18,0.5,30.4,69,1004.5,1.0,312.7
11037,2020-7-24 9,13,27,38,0,32,0.5,30.6,67,1004.9,1.7,320.5
11038,2020-7-24 10,12,28,34,0,60,0.5,31.5,65,1004.8,1.4,336.3
11039,2020-7-24 11,11,25,55,16,106,0.5,32.2,63,1004.5,1.5,347.0
11040,2020-7-24 12,12,20,53,32,129,0.5,33.2,59,1004.0,1.8,351.7
11041,2020-7-24 13,11,16,60,23,137,0.5,34.2,54,1003.1,1.6,349.5
11042,2020-7-24 14,11,17,65,36,174,0.5,35.2,51,1002.2,1.8,5.9
11043,2020-7-24 15,10,16,66,34,187,0.4,35.6,49,1001.4,2.2,14.8
11044,2020-7-24 16,11,17,73,41,201,0.4,36.2,48,1000.7,2.2,9.6
11045,2020-7-24 17,10,18,68,38,190,0.4,36.3,47,1000.0,2.3,5.9
11046,2020-7-24 18,10,20,61,37,178,0.5,36.5,46,999.7,1.8,339.1
11047,2020-7-24 19,8,21,42,25,168,0.5,36.0,46,999.5,1.6,319.1
11048,2020-7-24 20,8,27,47,26,150,0.5,35.6,47,999.8,1.4,345.1
11049,2020-7-24 21,10,13,32,31,133,0.6,35.2,48,1000.6,0.9,0.6
11050,2020-7-24 22,8,32,27,39,110,0.7,34.6,52,1001.1,0.8,171.5
11051,2020-7-24 23,8,30,22,49,95,0.7,33.7,56,1001.7,0.8,207.4
11052,2020-7-25 0,8,37,18,40,89,0.6,33.4,58,1002.0,1.3,280.7
11053,2020-7-25 1,9,45,13,25,51,0.6,32.8,64,1002.2,1.5,311.0
11054,2020-7-25 2,9,48,17,24,26,0.6,32.2,68,1001.8,1.6,318.5
11055,2020-7-25 3,11,37,21,20,15,0.5,31.6,69,1001.7,1.8,318.3
11056,2020-7-25 4,12,36,11,15,11,0.5,31.2,70,1001.7,1.8,322.5
11057,2020-7-25 5,14,41,1,19,10,0.5,30.8,70,1001.7,1.9,318.0
11058,2020-7-25 6,16,45,8,20,6,0.5,30.4,70,1001.8,2.0,319.4
11059,2020-7-25 7,18,42,20,24,8,0.5,30.2,71,1002.2,1.5,304.1
11060,2020-7-25 8,18,33,35,19,18,0.5,30.5,69,1002.5,1.6,321.7
11061,2020-7-25 9,20,32,33,48,31,0.5,31.2,67,1002.6,1.2,314.2
11062,2020-7-25 10,18,32,56,80,57,0.6,32.2,65,1002.6,1.3,331.6
11063,2020-7-25 11,16,26,60,86,112,0.5,32.6,64,1002.3,1.9,351.7
11064,2020-7-25 12,15,20,78,86,164,0.5,33.7,60,1001.8,2.1,352.9
11065,2020-7-25 13,12,15,80,81,164,0.4,34.8,56,1001.2,2.0,341.4
11066,2020-7-25 14,10,14,75,62,139,0.4,35.9,51,1000.2,2.1,0.2
11067,2020-7-25 15,9,13,56,64,141,0.3,36.8,48,999.4,1.9,352.3
11068,2020-7-25 16,9,14,62,40,133,0.4,37.2,46,998.7,1.9,9.9
11069,2020-7-25 17,9,15,68,57,174,0.4,37.2,47,998.3,2.1,328.6
11070,2020-7-25 18,9,18,65,51,197,0.5,36.8,48,998.3,2.3,319.3
11071,2020-7-25 19,9,21,64,44,178,0.5,36.4,49,998.5,1.8,319.1
11072,2020-7-25 20,8,24,61,48,171,0.6,36.1,50,999.3,1.3,318.6
11073,2020-7-25 21,8,33,72,56,155,0.6,35.6,52,1000.0,1.8,265.5
11074,2020-7-25 22,8,38,80,46,124,0.7,34.4,60,1000.4,1.5,268.6
11075,2020-7-25 23,8,39,76,42,86,0.6,33.8,63,1001.0,1.6,282.4
11076,2020-7-26 0,8,34,61,32,55,0.6,33.5,63,1001.5,2.2,303.9
11077,2020-7-26 1,8,29,35,28,39,0.5,32.9,64,1001.2,1.9,316.9
11078,2020-7-26 2,9,26,30,26,32,0.4,32.4,63,1000.8,2.0,324.0
11079,2020-7-26 3,9,26,24,22,30,0.4,32.1,62,1000.5,2.0,310.8
11080,2020-7-26 4,11,28,25,21,24,0.4,31.7,64,1000.2,2.1,292.6
11081,2020-7-26 5,12,33,23,20,18,0.5,31.1,66,1000.2,1.9,321.7
11082,2020-7-26 6,13,33,32,26,18,0.4,30.6,68,1000.4,2.2,317.4
11083,2020-7-26 7,13,30,28,25,20,0.5,30.2,69,1000.8,2.0,316.2
11084,2020-7-26 8,15,30,37,28,23,0.5,30.3,71,1001.4,1.7,314.5
11085,2020-7-26 9,17,31,44,49,28,0.6,30.7,71,1001.7,1.4,326.0
11086,2020-7-26 10,18,30,65,69,42,0.6,31.2,70,1002.0,1.5,309.7
11087,2020-7-26 11,16,28,64,76,67,0.6,31.9,68,1002.0,1.5,283.1
11088,2020-7-26 12,14,24,64,88,109,0.6,32.9,65,1001.8,1.4,318.7
11089,2020-7-26 13,11,18,68,98,149,0.6,33.7,61,1000.9,1.3,322.4
11090,2020-7-26 14,9,15,59,91,164,0.6,34.4,59,1000.1,1.7,327.5
11091,2020-7-26 15,8,15,58,89,174,0.6,35.4,56,999.0,2.0,339.5
11092,2020-7-26 16,8,15,63,79,172,0.6,36.0,53,998.2,2.0,339.5
11093,2020-7-26 17,7,16,61,66,158,0.6,35.9,51,998.0,2.2,327.8
11094,2020-7-26 18,7,20,51,66,160,0.6,36.0,50,998.0,1.6,332.2
11095,2020-7-26 19,7,24,69,45,166,0.7,35.7,52,997.8,1.6,320.9
11096,2020-7-26 20,7,29,73,40,144,0.7,34.7,58,998.5,1.9,269.5
11097,2020-7-26 21,6,38,78,36,98,0.7,33.9,62,998.8,1.6,258.6
11098,2020-7-26 22,6,36,68,34,77,0.7,33.6,62,999.4,1.7,218.3
11099,2020-7-26 23,7,36,63,27,51,0.6,33.0,64,999.8,2.2,276.8
11100,2020-7-27 0,10,28,47,26,39,0.5,32.6,59,1000.1,2.0,319.8
11101,2020-7-27 1,12,30,42,25,22,0.5,31.8,61,1000.1,2.6,316.5
11102,2020-7-27 2,12,31,31,24,13,0.5,31.3,64,1000.2,2.2,318.9
11103,2020-7-27 3,11,27,33,21,13,0.5,30.9,63,999.9,2.6,314.0
11104,2020-7-27 4,12,28,28,17,10,0.5,30.4,65,999.6,2.4,311.9
11105,2020-7-27 5,10,24,22,15,15,0.5,29.8,68,999.7,2.3,314.9
