,1,2,18,19,20,21,22,23
0,2020/7/23,2020-7-23 0,6.24197,64.6868,30.1491,23.5952,2.4e-06,0.276276
1,2020/7/23,2020-7-23 1,8.98251,59.7134,28.7767,22.0022,0.110509,0.372511
2,2020/7/23,2020-7-23 2,7.37808,49.9261,26.5221,19.0562,5.01598,0.305093
3,2020/7/23,2020-7-23 3,5.54537,38.6818,18.1417,12.018,11.1614,0.240851
4,2020/7/23,2020-7-23 4,6.53216,39.1868,17.6025,10.9584,9.06365,0.226328
5,2020/7/23,2020-7-23 5,5.63237,33.578,21.5459,13.0882,12.6592,0.201541
6,2020/7/23,2020-7-23 6,2.58941,22.0422,20.4561,11.7144,22.3342,0.150285
7,2020/7/23,2020-7-23 7,1.87328,17.0264,21.7779,12.3378,33.6833,0.141955
8,2020/7/23,2020-7-23 8,2.73292,14.8528,18.6304,11.5369,43.5924,0.14604
9,2020/7/23,2020-7-23 9,1.94489,11.1583,13.7117,9.37622,58.9095,0.133254
10,2020/7/23,2020-7-23 10,2.32509,9.98315,12.9198,9.46091,79.0763,0.146485
11,2020/7/23,2020-7-23 11,2.77756,9.14245,14.221,10.9089,100.177,0.159478
12,2020/7/23,2020-7-23 12,2.92004,7.89129,15.5023,12.2667,120.285,0.174899
13,2020/7/23,2020-7-23 13,3.13931,6.90118,15.6088,12.7987,140.832,0.192814
14,2020/7/23,2020-7-23 14,3.55107,6.43243,16.216,13.6206,157.43,0.203206
15,2020/7/23,2020-7-23 15,3.66388,6.3575,17.8788,15.0096,161.519,0.19752
16,2020/7/23,2020-7-23 16,3.81702,6.87672,19.7903,16.5294,166.502,0.193565
17,2020/7/23,2020-7-23 17,4.07466,8.19471,19.0041,15.6156,172.175,0.198758
18,2020/7/23,2020-7-23 18,3.27387,11.325,17.4924,13.7467,163.206,0.206544
19,2020/7/23,2020-7-23 19,5.11535,19.4928,22.9355,16.3894,135.756,0.223896
20,2020/7/23,2020-7-23 20,3.51974,19.0122,19.3888,13.1033,99.3344,0.171733
21,2020/7/23,2020-7-23 21,4.15034,30.2824,18.4714,13.345,43.1304,0.222152
22,2020/7/23,2020-7-23 22,5.07709,42.2113,17.4568,13.4731,21.8412,0.266561
23,2020/7/23,2020-7-23 23,6.96884,43.8524,13.7264,10.3263,13.7299,0.244207
24,2020/7/23,2020-7-24 0,7.01948,41.8065,14.7684,10.7802,9.45734,0.256039
25,2020/7/23,2020-7-24 1,4.90809,35.4292,14.2244,10.3461,10.9777,0.268429
26,2020/7/23,2020-7-24 2,4.24582,33.5224,14.4349,10.3339,10.5669,0.28954
27,2020/7/23,2020-7-24 3,4.22652,33.0781,15.7307,10.8433,8.67483,0.29258
28,2020/7/23,2020-7-24 4,4.90984,34.9478,18.7491,12.4627,6.32618,0.282795
29,2020/7/23,2020-7-24 5,4.59394,35.1755,24.6906,14.9029,5.36202,0.25145
30,2020/7/23,2020-7-24 6,4.17217,33.3711,31.4954,17.7621,6.48605,0.233396
31,2020/7/23,2020-7-24 7,3.39189,23.749,25.9735,15.5324,19.0859,0.205244
32,2020/7/23,2020-7-24 8,2.80207,16.8289,19.4459,13.0063,33.7459,0.169916
33,2020/7/23,2020-7-24 9,2.36373,13.0517,15.3546,10.9532,48.7307,0.143127
34,2020/7/23,2020-7-24 10,1.91172,9.38163,12.8448,9.46665,65.1684,0.115513
35,2020/7/23,2020-7-24 11,1.46054,6.71485,10.9508,8.36946,84.6675,0.103413
36,2020/7/23,2020-7-24 12,1.53117,5.73851,11.432,9.03968,99.8903,0.103106
37,2020/7/23,2020-7-24 13,1.60041,5.78338,11.8788,9.59122,111.552,0.107586
38,2020/7/23,2020-7-24 14,1.43826,6.03945,11.5596,9.43666,117.11,0.113204
39,2020/7/23,2020-7-24 15,1.51888,6.49876,12.8296,10.5642,123.345,0.118622
40,2020/7/23,2020-7-24 16,2.10272,8.44666,15.6843,13.0571,131.885,0.125318
41,2020/7/23,2020-7-24 17,3.60305,12.5947,16.0106,12.944,129.737,0.130452
42,2020/7/23,2020-7-24 18,5.43147,17.737,14.4291,10.4288,118.591,0.143195
43,2020/7/23,2020-7-24 19,4.7527,18.0325,17.7923,12.0253,106.146,0.154372
44,2020/7/23,2020-7-24 20,3.79606,19.4306,28.6361,19.492,109.302,0.163865
45,2020/7/23,2020-7-24 21,6.95998,29.3754,33.0482,22.9214,92.9411,0.171232
46,2020/7/23,2020-7-24 22,7.40544,44.0454,26.3083,20.7742,32.6934,0.327915
47,2020/7/23,2020-7-24 23,8.79566,49.4591,17.2611,13.5738,8.29781,0.354694
48,2020/7/23,2020-7-25 0,7.60305,42.6246,16.7179,12.2,10.6316,0.285936
49,2020/7/23,2020-7-25 1,5.27985,37.9353,14.7413,10.4534,11.9661,0.251974
50,2020/7/23,2020-7-25 2,4.49394,35.45,15.9078,10.9351,10.5233,0.234476
51,2020/7/23,2020-7-25 3,3.65035,32.1346,20.4379,13.2518,10.3564,0.210324
52,2020/7/23,2020-7-25 4,3.06424,28.5602,27.6492,17.3308,11.0515,0.179578
53,2020/7/23,2020-7-25 5,2.85204,27.0896,36.9622,22.5442,10.8708,0.165019
54,2020/7/23,2020-7-25 6,3.29131,26.8156,42.4805,24.843,10.1746,0.173772
55,2020/7/23,2020-7-25 7,4.21323,22.4518,42.5789,26.4325,22.2192,0.186387
56,2020/7/23,2020-7-25 8,3.66305,17.8707,41.0053,28.4626,46.535,0.166214
57,2020/7/23,2020-7-25 9,3.07232,13.6467,41.4341,30.7584,69.6534,0.154396
58,2020/7/23,2020-7-25 10,2.37013,7.31673,47.5051,37.4489,102.062,0.132786
59,2020/7/23,2020-7-25 11,1.80274,4.5073,30.1906,24.6562,108.673,0.119247
60,2020/7/23,2020-7-25 12,1.58156,3.82064,21.5392,17.9045,108.585,0.117255
61,2020/7/23,2020-7-25 13,1.4146,3.75173,14.3481,11.9041,113.13,0.121224
62,2020/7/23,2020-7-25 14,1.13916,3.61675,8.62708,7.06878,117.014,0.123839
63,2020/7/23,2020-7-25 15,1.24313,4.35638,8.42208,6.84769,129.082,0.144173
64,2020/7/23,2020-7-25 16,1.41514,5.92346,8.39229,6.84403,126.653,0.145065
65,2020/7/23,2020-7-25 17,1.63154,7.99271,9.07207,7.15335,108.035,0.126482
66,2020/7/23,2020-7-25 18,3.24116,12.3251,14.7471,11.3794,98.1783,0.120779
67,2020/7/23,2020-7-25 19,7.11518,22.9517,16.2762,10.8215,83.2573,0.129157
68,2020/7/23,2020-7-25 20,9.70159,31.2416,23.9202,16.1525,65.9516,0.131164
69,2020/7/23,2020-7-25 21,6.40539,27.5283,20.5855,14.4118,67.8644,0.152946
70,2020/7/23,2020-7-25 22,6.91936,38.4998,18.6651,14.2223,20.3321,0.307426
71,2020/7/23,2020-7-25 23,9.3287,44.952,17.2403,13.0625,8.88652,0.397611
72,2020/7/24,2020-7-24 0,4.06394,32.1303,10.9546,8.59004,19.5594,0.264508
73,2020/7/24,2020-7-24 1,4.16269,32.1364,11.6971,8.83033,19.0147,0.293748
74,2020/7/24,2020-7-24 2,4.28564,33.1538,13.1872,9.426,17.0024,0.313246
75,2020/7/24,2020-7-24 3,3.89073,29.3598,15.6498,10.0739,18.9497,0.259241
76,2020/7/24,2020-7-24 4,3.34517,25.2992,20.3643,12.1779,22.0008,0.183281
77,2020/7/24,2020-7-24 5,2.82552,26.9769,31.025,17.0779,19.7517,0.160891
78,2020/7/24,2020-7-24 6,2.7698,26.6365,34.4429,18.1666,20.4052,0.16144
79,2020/7/24,2020-7-24 7,3.31948,20.6424,25.9551,14.9731,29.3524,0.174765
80,2020/7/24,2020-7-24 8,3.56017,16.8658,19.0047,11.9746,41.8998,0.171239
81,2020/7/24,2020-7-24 9,3.10264,12.7271,14.3923,10.0506,64.1873,0.149723
82,2020/7/24,2020-7-24 10,2.70319,9.02723,13.0086,9.79483,88.2553,0.138912
83,2020/7/24,2020-7-24 11,2.03004,5.94165,12.4438,9.78418,101.87,0.12637
84,2020/7/24,2020-7-24 12,2.44047,6.08543,16.2883,13.364,125.218,0.143596
