,1,8,9,10,11,12
0,2020-7-23 0,29.7,74,1007.2,1.3,96.6
1,2020-7-23 1,29.3,76,1007.0,1.3,78.7
2,2020-7-23 2,29.1,79,1007.1,0.9,2.5
3,2020-7-23 3,29.0,80,1007.1,0.9,81.9
4,2020-7-23 4,28.9,80,1007.0,0.8,122.9
5,2020-7-23 5,28.4,83,1007.1,0.8,259.5
6,2020-7-23 6,28.8,82,1007.6,0.5,83.5
7,2020-7-23 7,30.1,74,1007.8,1.5,117.8
8,2020-7-23 8,30.8,69,1008.0,1.2,119.7
9,2020-7-23 9,32.2,64,1008.2,1.2,308.5
10,2020-7-23 10,32.4,64,1008.1,1.0,232.4
11,2020-7-23 11,33.9,57,1007.7,1.2,256.3
12,2020-7-23 12,34.6,52,1007.0,1.4,251.4
13,2020-7-23 13,35.2,48,1006.3,1.5,214.2
14,2020-7-23 14,35.4,48,1005.7,1.7,106.5
15,2020-7-23 15,34.5,56,1005.4,2.4,92.3
16,2020-7-23 16,34.2,59,1005.0,2.1,106.6
17,2020-7-23 17,34.1,59,1004.8,1.7,111.0
18,2020-7-23 18,33.7,60,1005.0,1.6,110.7
19,2020-7-23 19,33.0,61,1005.3,2.3,256.9
20,2020-7-23 20,32.3,63,1005.9,1.8,266.8
21,2020-7-23 21,31.6,67,1006.6,1.6,278.1
22,2020-7-23 22,31.1,69,1007.3,1.8,259.9
23,2020-7-23 23,30.7,69,1007.4,2.5,227.0
24,2020-7-24 0,30.4,69,1007.3,1.8,235.0
25,2020-7-24 1,30.2,71,1007.0,1.2,242.5
26,2020-7-24 2,29.7,75,1006.6,0.9,250.7
27,2020-7-24 3,29.4,78,1006.3,0.8,270.8
28,2020-7-24 4,29.1,80,1006.6,0.8,271.3
29,2020-7-24 5,28.9,81,1007.0,0.6,275.5
30,2020-7-24 6,29.3,79,1007.5,1.0,265.8
31,2020-7-24 7,29.8,78,1008.2,0.9,275.5
32,2020-7-24 8,31.7,66,1008.4,1.1,256.1
33,2020-7-24 9,32.5,61,1008.4,1.4,254.6
34,2020-7-24 10,33.3,56,1007.9,1.4,257.4
35,2020-7-24 11,34.7,52,1007.4,1.0,245.7
36,2020-7-24 12,35.1,50,1006.7,1.6,256.5
37,2020-7-24 13,36.0,48,1005.8,1.6,259.0
38,2020-7-24 14,36.3,48,1005.1,1.7,226.3
39,2020-7-24 15,36.6,47,1004.4,1.1,193.5
40,2020-7-24 16,37.4,45,1003.8,1.1,269.0
41,2020-7-24 17,35.9,52,1003.4,1.8,115.2
42,2020-7-24 18,33.9,64,1003.3,2.4,118.2
43,2020-7-24 19,33.2,66,1003.8,2.1,123.5
44,2020-7-24 20,33.0,65,1004.4,1.8,250.4
45,2020-7-24 21,32.6,64,1005.0,2.1,257.7
46,2020-7-24 22,32.0,68,1005.6,2.0,239.9
47,2020-7-24 23,31.6,71,1005.9,1.8,228.8
48,2020-7-25 0,31.4,71,1005.8,1.6,227.1
49,2020-7-25 1,31.1,71,1005.6,0.9,241.1
50,2020-7-25 2,30.6,73,1005.5,1.0,257.3
51,2020-7-25 3,30.1,74,1005.4,1.1,265.9
52,2020-7-25 4,29.7,74,1005.5,1.2,266.9
53,2020-7-25 5,29.6,75,1005.4,1.3,258.9
54,2020-7-25 6,29.6,77,1005.8,1.4,241.6
55,2020-7-25 7,30.4,74,1006.1,1.9,250.7
56,2020-7-25 8,31.2,69,1006.3,2.0,255.2
57,2020-7-25 9,32.4,64,1006.3,1.8,249.8
58,2020-7-25 10,33.6,59,1006.0,1.3,251.7
59,2020-7-25 11,34.3,58,1005.6,1.6,218.4
60,2020-7-25 12,35.6,54,1004.9,1.8,261.2
61,2020-7-25 13,35.9,51,1004.1,1.5,262.3
62,2020-7-25 14,37.1,46,1003.3,1.3,240.8
63,2020-7-25 15,37.3,46,1002.6,1.3,176.9
64,2020-7-25 16,36.3,53,1002.2,1.9,113.8
65,2020-7-25 17,34.6,62,1002.3,2.4,122.4
66,2020-7-25 18,34.2,64,1002.6,2.0,114.3
67,2020-7-25 19,33.8,64,1003.4,1.8,256.9
68,2020-7-25 20,33.1,64,1004.1,2.5,240.8
69,2020-7-25 21,32.5,65,1004.5,2.0,252.4
70,2020-7-25 22,32.2,65,1005.1,1.4,267.0
71,2020-7-25 23,31.8,67,1005.4,1.7,258.0
72,2020-7-26 0,31.2,71,1005.1,1.7,250.8
73,2020-7-26 1,30.8,74,1004.8,1.8,225.7
74,2020-7-26 2,30.8,70,1004.3,1.3,237.0
75,2020-7-26 3,30.4,71,1003.9,1.3,246.7
76,2020-7-26 4,30.2,74,1003.9,1.5,234.7
77,2020-7-26 5,30.1,76,1004.2,1.4,237.1
78,2020-7-26 6,29.9,78,1004.8,1.3,253.1
79,2020-7-26 7,30.8,74,1005.2,1.5,251.7
