,1,8,9,10,11,12
0,2020-7-23 0,28.9,88,1008.5,2.1,101.7
1,2020-7-23 1,28.8,89,1008.2,2.0,106.9
2,2020-7-23 2,28.6,90,1007.7,2.1,103.2
3,2020-7-23 3,28.3,92,1007.7,2.1,102.5
4,2020-7-23 4,27.7,96,1007.8,1.3,147.5
5,2020-7-23 5,27.6,93,1007.8,0.8,127.1
6,2020-7-23 6,27.6,92,1008.0,1.0,191.1
7,2020-7-23 7,27.6,92,1008.6,1.0,334.7
8,2020-7-23 8,30.9,80,1008.7,1.0,357.3
9,2020-7-23 9,34.3,63,1008.7,1.4,102.2
10,2020-7-23 10,34.3,63,1008.8,1.7,118.5
11,2020-7-23 11,34.5,61,1008.7,2.3,147.3
12,2020-7-23 12,34.5,61,1008.3,1.8,124.9
13,2020-7-23 13,34.1,61,1007.8,2.1,113.7
14,2020-7-23 14,33.8,63,1007.3,2.5,115.0
15,2020-7-23 15,34.9,60,1006.9,2.3,120.0
16,2020-7-23 16,35.6,54,1006.5,2.0,119.3
17,2020-7-23 17,35.6,55,1006.2,1.8,104.2
18,2020-7-23 18,35.0,55,1005.9,2.2,151.1
19,2020-7-23 19,32.9,60,1006.1,2.6,150.4
20,2020-7-23 20,31.2,65,1006.7,2.2,136.5
21,2020-7-23 21,30.5,67,1007.3,2.1,142.6
22,2020-7-23 22,29.9,71,1007.8,2.6,152.5
23,2020-7-23 23,29.6,74,1008.1,2.2,146.4
24,2020-7-24 0,29.4,74,1008.2,1.6,152.0
25,2020-7-24 1,29.1,75,1008.0,1.2,196.3
26,2020-7-24 2,28.4,80,1007.8,1.2,339.0
27,2020-7-24 3,28.1,82,1007.3,1.0,345.2
28,2020-7-24 4,27.8,82,1007.2,0.8,4.4
29,2020-7-24 5,27.6,84,1007.4,0.9,352.2
30,2020-7-24 6,27.4,85,1007.8,0.7,351.2
31,2020-7-24 7,27.6,85,1008.3,0.8,1.6
32,2020-7-24 8,31.8,71,1008.7,0.6,320.2
33,2020-7-24 9,34.3,60,1008.9,1.8,251.3
34,2020-7-24 10,34.6,58,1008.9,1.5,275.9
35,2020-7-24 11,35.0,56,1008.3,1.9,197.4
36,2020-7-24 12,35.2,57,1007.8,1.5,105.3
37,2020-7-24 13,35.0,57,1007.0,2.2,117.7
38,2020-7-24 14,35.4,58,1006.2,2.1,96.0
39,2020-7-24 15,35.7,57,1005.6,2.0,111.1
40,2020-7-24 16,36.9,54,1005.0,1.9,93.9
41,2020-7-24 17,36.3,57,1004.5,2.2,112.3
42,2020-7-24 18,35.3,58,1004.2,2.4,139.9
43,2020-7-24 19,33.3,64,1004.3,2.5,148.5
44,2020-7-24 20,31.9,70,1004.9,1.3,135.2
45,2020-7-24 21,31.7,72,1005.5,1.2,107.0
46,2020-7-24 22,31.2,76,1006.1,1.0,95.9
47,2020-7-24 23,30.7,78,1006.5,0.8,96.5
48,2020-7-25 0,30.3,77,1006.6,1.5,130.8
49,2020-7-25 1,29.7,79,1006.5,1.0,260.5
50,2020-7-25 2,29.4,79,1006.4,1.4,279.8
51,2020-7-25 3,29.2,80,1006.2,1.4,298.6
52,2020-7-25 4,28.7,82,1006.1,1.0,279.1
53,2020-7-25 5,28.8,81,1006.0,1.7,271.3
54,2020-7-25 6,28.4,83,1006.1,1.3,320.9
55,2020-7-25 7,29.0,80,1006.5,0.7,211.4
56,2020-7-25 8,32.2,68,1006.7,1.4,230.7
57,2020-7-25 9,32.6,67,1006.8,2.4,258.2
58,2020-7-25 10,33.4,64,1006.7,1.9,262.9
59,2020-7-25 11,35.0,57,1006.7,1.9,266.2
60,2020-7-25 12,36.4,51,1006.2,1.6,318.1
61,2020-7-25 13,35.2,60,1005.6,2.0,127.0
62,2020-7-25 14,35.8,58,1004.9,2.0,112.5
63,2020-7-25 15,35.9,57,1004.4,1.8,109.6
64,2020-7-25 16,36.9,54,1003.8,1.6,114.1
65,2020-7-25 17,34.9,61,1003.4,2.2,121.6
66,2020-7-25 18,34.0,63,1003.6,2.4,142.7
67,2020-7-25 19,32.4,65,1004.0,2.3,139.4
68,2020-7-25 20,31.7,69,1004.8,2.0,139.1
69,2020-7-25 21,31.2,73,1005.3,1.1,131.1
70,2020-7-25 22,30.6,76,1005.6,1.4,94.2
71,2020-7-25 23,30.2,77,1006.3,1.2,102.9
72,2020-7-26 0,29.8,78,1006.4,1.2,122.4
73,2020-7-26 1,29.2,80,1006.1,0.8,193.2
74,2020-7-26 2,28.6,82,1005.6,0.6,180.0
75,2020-7-26 3,28.4,82,1005.3,1.0,265.5
76,2020-7-26 4,28.4,82,1005.1,1.0,206.3
77,2020-7-26 5,28.1,83,1004.8,0.8,16.5
78,2020-7-26 6,27.5,86,1005.1,0.7,357.8
79,2020-7-26 7,28.0,84,1005.7,0.9,3.0
80,2020-7-26 8,33.7,64,1006.1,0.5,83.2
81,2020-7-26 9,33.6,62,1006.5,1.4,283.3
82,2020-7-26 10,35.8,56,1006.8,0.9,135.0
83,2020-7-26 11,35.9,53,1006.5,1.7,152.5
84,2020-7-26 12,35.0,58,1006.2,1.6,102.7
85,2020-7-26 13,34.8,60,1005.6,2.1,122.7
86,2020-7-26 14,35.6,58,1004.6,1.7,113.3
87,2020-7-26 15,37.4,51,1003.6,1.2,103.8
88,2020-7-26 16,35.9,53,1003.2,3.3,160.9
89,2020-7-26 17,34.4,59,1003.2,3.4,156.1
90,2020-7-26 18,33.6,63,1003.0,2.6,155.2
91,2020-7-26 19,32.1,68,1003.1,1.6,172.8
92,2020-7-26 20,31.5,70,1003.5,1.2,135.9
93,2020-7-26 21,30.6,73,1004.4,2.0,155.7
94,2020-7-26 22,30.1,75,1005.2,1.7,180.6
95,2020-7-26 23,29.7,76,1005.4,0.8,135.8
96,2020-7-27 0,29.4,77,1005.5,2.0,146.0
97,2020-7-27 1,29.2,78,1005.5,1.6,220.7
98,2020-7-27 2,29.1,79,1005.2,2.1,295.3
99,2020-7-27 3,28.7,82,1004.9,1.5,267.6
100,2020-7-27 4,28.4,82,1004.6,0.8,235.6
101,2020-7-27 5,28.4,84,1004.6,0.6,53.6
102,2020-7-27 6,28.1,85,1004.7,0.9,4.7
103,2020-7-27 7,28.8,83,1005.2,0.9,357.3
104,2020-7-27 8,32.8,67,1005.4,0.9,318.2
105,2020-7-27 9,33.6,63,1005.7,0.7,119.7
106,2020-7-27 10,33.2,64,1005.8,1.6,269.3
107,2020-7-27 11,30.8,77,1005.9,1.1,298.4
108,2020-7-27 12,33.3,65,1005.3,1.4,164.8
109,2020-7-27 13,34.2,57,1004.8,2.9,181.7
110,2020-7-27 14,34.3,58,1004.3,3.2,142.1
111,2020-7-27 15,34.1,58,1003.9,4.4,157.8
112,2020-7-27 16,34.4,59,1003.5,3.6,172.9
113,2020-7-27 17,34.6,53,1003.2,4.0,183.8
114,2020-7-27 18,33.1,64,1003.4,3.3,149.8
115,2020-7-27 19,31.3,71,1003.7,3.4,156.4
116,2020-7-27 20,30.2,74,1004.3,1.5,158.0
117,2020-7-27 21,29.8,78,1004.8,2.2,138.5
118,2020-7-27 22,29.6,80,1005.6,2.4,138.0
119,2020-7-27 23,29.3,82,1006.3,2.2,152.9
120,2020-7-28 0,29.1,80,1006.4,0.9,217.8
121,2020-7-28 1,28.9,82,1006.2,1.3,144.4
122,2020-7-28 2,28.9,84,1006.0,2.2,148.6
123,2020-7-28 3,28.8,85,1005.8,1.6,143.5
124,2020-7-28 4,28.7,84,1005.7,1.5,146.6
125,2020-7-28 5,28.7,85,1005.6,2.1,150.7
126,2020-7-28 6,28.4,85,1006.2,0.9,230.8
127,2020-7-28 7,28.7,83,1006.8,1.0,288.5
128,2020-7-28 8,32.2,70,1007.0,1.1,226.6
129,2020-7-28 9,33.2,64,1007.2,1.7,282.5
130,2020-7-28 10,35.5,54,1007.3,1.6,264.6
131,2020-7-28 11,35.5,53,1007.1,1.2,79.1
132,2020-7-28 12,34.5,60,1006.9,2.1,104.1
133,2020-7-28 13,34.1,62,1006.3,2.0,118.3
134,2020-7-28 14,34.1,63,1005.7,2.0,99.5
135,2020-7-28 15,34.2,62,1004.7,2.1,95.6
136,2020-7-28 16,35.4,57,1004.1,2.8,118.7
137,2020-7-28 17,35.0,56,1003.6,3.4,149.5
138,2020-7-28 18,33.9,60,1003.9,3.5,155.8
139,2020-7-28 19,32.3,63,1004.8,3.0,150.8
140,2020-7-28 20,30.9,68,1005.7,2.2,143.3
141,2020-7-28 21,30.4,72,1006.2,2.4,142.8
142,2020-7-28 22,30.0,75,1007.1,2.5,150.1
143,2020-7-28 23,29.8,77,1007.4,2.0,142.7
144,2020-7-29 0,29.5,81,1007.5,2.2,140.6
145,2020-7-29 1,29.3,82,1007.0,2.2,142.2
146,2020-7-29 2,29.1,83,1006.2,1.7,143.8
147,2020-7-29 3,28.8,82,1005.6,0.7,189.5
148,2020-7-29 4,28.3,85,1005.2,1.0,334.8
149,2020-7-29 5,28.1,86,1005.4,1.1,334.4
150,2020-7-29 6,27.8,87,1005.7,0.6,347.0
151,2020-7-29 7,28.8,83,1006.2,0.6,327.1
152,2020-7-29 8,31.6,72,1006.7,0.3,129.9
153,2020-7-29 9,30.8,73,1006.9,0.8,352.3
154,2020-7-29 10,34.1,63,1006.9,1.4,359.4
155,2020-7-29 11,34.8,57,1006.7,1.7,233.3
156,2020-7-29 12,33.8,62,1006.3,1.5,117.9
157,2020-7-29 13,35.3,57,1005.7,1.1,127.4
158,2020-7-29 14,30.0,80,1005.4,1.3,91.0
159,2020-7-29 15,31.9,71,1004.7,1.8,114.2
160,2020-7-29 16,31.9,73,1004.8,2.1,107.7
161,2020-7-29 17,30.4,78,1005.0,1.9,121.0
162,2020-7-29 18,29.8,82,1005.1,1.9,119.5
163,2020-7-29 19,29.9,81,1006.0,1.8,124.7
164,2020-7-29 20,29.1,85,1006.4,1.8,133.7
165,2020-7-29 21,27.4,91,1006.6,0.9,131.0
166,2020-7-29 22,28.2,85,1007.4,1.8,115.1
167,2020-7-29 23,28.8,81,1007.5,1.5,111.0
168,2020-7-30 0,28.7,82,1007.4,1.6,110.6
169,2020-7-30 1,28.5,84,1007.0,1.3,112.3
170,2020-7-30 2,28.1,85,1006.5,0.8,95.5
171,2020-7-30 3,27.6,87,1006.1,0.6,42.2
172,2020-7-30 4,27.5,86,1006.2,0.8,2.3
173,2020-7-30 5,27.2,87,1006.2,1.2,318.9
174,2020-7-30 6,27.0,87,1006.3,1.0,317.3
175,2020-7-30 7,27.1,86,1006.5,1.3,312.6
176,2020-7-30 8,29.2,77,1006.6,1.5,281.2
177,2020-7-30 9,32.4,64,1006.6,1.8,317.6
178,2020-7-30 10,34.0,58,1006.7,1.6,336.6
179,2020-7-30 11,35.1,52,1006.6,1.4,13.7
180,2020-7-30 12,34.7,52,1006.3,1.3,89.7
181,2020-7-30 13,35.2,49,1005.8,2.3,118.8
182,2020-7-30 14,35.0,51,1005.1,3.4,146.9
183,2020-7-30 15,35.3,52,1004.2,3.1,134.9
184,2020-7-30 16,34.0,60,1004.0,3.3,137.5
185,2020-7-30 17,29.2,83,1004.4,2.8,128.7
186,2020-7-30 18,29.6,79,1004.2,2.3,110.8
187,2020-7-30 19,30.0,76,1004.2,2.4,111.5
188,2020-7-30 20,29.3,77,1005.0,1.4,116.7
189,2020-7-30 21,29.3,77,1005.7,1.0,98.3
190,2020-7-30 22,29.2,76,1005.9,0.8,77.1
191,2020-7-30 23,29.4,73,1005.8,0.7,108.7
192,2020-7-31 0,29.2,71,1005.7,1.0,22.9
193,2020-7-31 1,28.5,77,1005.3,1.9,333.5
194,2020-7-31 2,27.9,81,1004.6,2.4,323.4
195,2020-7-31 3,27.6,83,1003.9,1.4,292.5
196,2020-7-31 4,27.4,84,1003.2,1.4,274.8
197,2020-7-31 5,27.4,84,1003.2,1.5,258.0
198,2020-7-31 6,27.4,84,1003.2,1.0,287.2
199,2020-7-31 7,29.0,74,1003.4,0.8,115.5
200,2020-7-31 8,28.7,77,1004.4,2.3,120.6
201,2020-7-31 9,25.5,95,1005.3,2.5,124.5
202,2020-7-31 10,25.8,94,1005.7,1.8,105.3
203,2020-7-31 11,25.2,95,1005.6,1.4,93.9
204,2020-7-31 12,25.1,96,1004.9,1.2,34.8
205,2020-7-31 13,27.0,91,1004.5,1.1,75.1
206,2020-7-31 14,28.2,85,1003.7,1.3,85.5
207,2020-7-31 15,25.9,93,1003.7,2.3,113.9
208,2020-7-31 16,25.2,95,1003.5,1.9,105.3
209,2020-7-31 17,25.0,97,1003.2,1.9,108.5
210,2020-7-31 18,25.0,97,1002.6,1.6,108.3
211,2020-7-31 19,25.2,96,1002.8,1.7,113.0
212,2020-7-31 20,26.3,90,1003.2,2.4,111.7
213,2020-7-31 21,26.3,89,1003.8,1.1,58.3
214,2020-7-31 22,26.5,90,1004.8,1.5,69.1
215,2020-7-31 23,27.2,88,1005.2,1.5,113.7
216,2020-8-1 0,27.6,86,1004.6,1.8,113.8
217,2020-8-1 1,27.2,88,1004.0,1.9,113.2
218,2020-8-1 2,27.3,88,1003.8,1.9,110.8
219,2020-8-1 3,25.8,96,1003.7,1.6,96.2
220,2020-8-1 4,26.2,94,1003.2,1.7,85.6
221,2020-8-1 5,26.2,92,1003.3,1.8,95.4
222,2020-8-1 6,25.6,94,1003.3,1.2,93.6
223,2020-8-1 7,26.5,92,1003.7,1.9,102.1
224,2020-8-1 8,27.4,88,1003.9,1.9,117.9
225,2020-8-1 9,26.1,94,1004.3,2.2,110.8
226,2020-8-1 10,26.2,95,1004.5,1.9,113.5
227,2020-8-1 11,29.2,80,1004.3,3.6,112.0
