,1,8,9,10,11,12
0,2020-7-23 0,31.7,62,1003.5,2.0,299.1
1,2020-7-23 1,31.1,63,1003.4,1.7,325.8
2,2020-7-23 2,30.4,68,1003.5,1.3,346.6
3,2020-7-23 3,30.1,70,1003.6,1.6,326.6
4,2020-7-23 4,29.6,72,1003.6,2.1,305.0
5,2020-7-23 5,29.0,76,1003.6,1.3,342.1
6,2020-7-23 6,29.0,77,1003.8,1.2,352.7
7,2020-7-23 7,28.9,78,1004.1,1.4,355.4
8,2020-7-23 8,28.9,77,1004.6,1.2,200.5
9,2020-7-23 9,29.7,75,1004.8,1.1,193.4
10,2020-7-23 10,31.2,68,1004.8,1.2,294.3
11,2020-7-23 11,31.3,66,1004.6,1.3,332.0
12,2020-7-23 12,32.5,61,1004.4,1.3,289.6
13,2020-7-23 13,33.5,57,1003.7,1.3,288.4
14,2020-7-23 14,34.2,53,1002.9,1.8,336.4
15,2020-7-23 15,34.9,50,1002.4,1.9,4.1
16,2020-7-23 16,35.5,48,1001.8,1.9,359.6
17,2020-7-23 17,36.0,46,1001.4,2.0,357.8
18,2020-7-23 18,36.1,45,1001.1,1.8,11.9
19,2020-7-23 19,35.7,46,1001.1,1.7,13.9
20,2020-7-23 20,35.0,48,1001.3,1.0,324.4
21,2020-7-23 21,34.3,52,1001.8,1.0,192.2
22,2020-7-23 22,33.4,59,1002.5,1.2,270.0
23,2020-7-23 23,32.9,61,1003.1,1.7,316.3
24,2020-7-24 0,32.3,64,1003.6,1.6,326.6
25,2020-7-24 1,31.7,64,1003.6,1.9,317.6
26,2020-7-24 2,31.2,66,1003.5,1.9,315.7
27,2020-7-24 3,30.6,69,1003.0,1.8,315.5
28,2020-7-24 4,30.2,72,1002.9,1.8,316.6
29,2020-7-24 5,30.0,71,1003.0,1.9,318.8
30,2020-7-24 6,29.7,71,1003.3,1.7,316.4
31,2020-7-24 7,29.8,74,1003.9,0.8,310.1
32,2020-7-24 8,30.4,69,1004.5,1.0,312.7
33,2020-7-24 9,30.6,67,1004.9,1.7,320.5
34,2020-7-24 10,31.5,65,1004.8,1.4,336.3
35,2020-7-24 11,32.2,63,1004.5,1.5,347.0
36,2020-7-24 12,33.2,59,1004.0,1.8,351.7
37,2020-7-24 13,34.2,54,1003.1,1.6,349.5
38,2020-7-24 14,35.2,51,1002.2,1.8,5.9
39,2020-7-24 15,35.6,49,1001.4,2.2,14.8
40,2020-7-24 16,36.2,48,1000.7,2.2,9.6
41,2020-7-24 17,36.3,47,1000.0,2.3,5.9
42,2020-7-24 18,36.5,46,999.7,1.8,339.1
43,2020-7-24 19,36.0,46,999.5,1.6,319.1
44,2020-7-24 20,35.6,47,999.8,1.4,345.1
45,2020-7-24 21,35.2,48,1000.6,0.9,0.6
46,2020-7-24 22,34.6,52,1001.1,0.8,171.5
47,2020-7-24 23,33.7,56,1001.7,0.8,207.4
48,2020-7-25 0,33.4,58,1002.0,1.3,280.7
49,2020-7-25 1,32.8,64,1002.2,1.5,311.0
50,2020-7-25 2,32.2,68,1001.8,1.6,318.5
51,2020-7-25 3,31.6,69,1001.7,1.8,318.3
52,2020-7-25 4,31.2,70,1001.7,1.8,322.5
53,2020-7-25 5,30.8,70,1001.7,1.9,318.0
54,2020-7-25 6,30.4,70,1001.8,2.0,319.4
55,2020-7-25 7,30.2,71,1002.2,1.5,304.1
56,2020-7-25 8,30.5,69,1002.5,1.6,321.7
57,2020-7-25 9,31.2,67,1002.6,1.2,314.2
58,2020-7-25 10,32.2,65,1002.6,1.3,331.6
59,2020-7-25 11,32.6,64,1002.3,1.9,351.7
60,2020-7-25 12,33.7,60,1001.8,2.1,352.9
61,2020-7-25 13,34.8,56,1001.2,2.0,341.4
62,2020-7-25 14,35.9,51,1000.2,2.1,0.2
63,2020-7-25 15,36.8,48,999.4,1.9,352.3
64,2020-7-25 16,37.2,46,998.7,1.9,9.9
65,2020-7-25 17,37.2,47,998.3,2.1,328.6
66,2020-7-25 18,36.8,48,998.3,2.3,319.3
67,2020-7-25 19,36.4,49,998.5,1.8,319.1
