,1,2,3,4,5,6,7
0,2020-7-23 0,9,9,14,5,36,0.4
1,2020-7-23 1,8,8,8,4,33,0.4
2,2020-7-23 2,8,10,11,5,30,0.4
3,2020-7-23 3,9,11,12,5,26,0.4
4,2020-7-23 4,9,14,12,5,20,0.4
5,2020-7-23 5,8,12,4,5,22,0.4
6,2020-7-23 6,8,12,10,5,20,0.4
7,2020-7-23 7,9,20,27,8,9,0.5
8,2020-7-23 8,8,18,16,6,17,0.5
9,2020-7-23 9,8,11,19,5,31,0.5
10,2020-7-23 10,9,11,26,6,47,0.4
11,2020-7-23 11,8,10,27,7,67,0.5
12,2020-7-23 12,9,8,25,7,72,0.5
13,2020-7-23 13,8,5,23,7,74,0.4
14,2020-7-23 14,9,5,17,7,76,0.4
15,2020-7-23 15,9,7,27,8,72,0.4
16,2020-7-23 16,8,8,36,8,61,0.4
17,2020-7-23 17,8,7,31,6,60,0.4
18,2020-7-23 18,8,11,36,5,68,0.4
19,2020-7-23 19,8,9,23,5,69,0.4
20,2020-7-23 20,8,9,15,6,54,0.4
21,2020-7-23 21,8,10,9,5,46,0.4
22,2020-7-23 22,9,15,9,5,40,0.4
23,2020-7-23 23,8,9,3,4,43,0.4
24,2020-7-24 0,9,7,6,3,44,0.4
25,2020-7-24 1,8,10,5,4,37,0.4
26,2020-7-24 2,8,25,17,5,14,0.4
27,2020-7-24 3,8,18,16,4,21,0.4
28,2020-7-24 4,8,23,13,3,12,0.5
29,2020-7-24 5,8,28,13,3,7,0.5
30,2020-7-24 6,8,29,17,4,4,0.6
31,2020-7-24 7,8,28,20,6,5,0.6
32,2020-7-24 8,9,27,28,5,14,0.6
33,2020-7-24 9,9,22,34,5,30,0.5
34,2020-7-24 10,10,17,29,4,38,0.5
35,2020-7-24 11,8,13,22,5,55,0.5
36,2020-7-24 12,8,16,23,6,76,0.5
37,2020-7-24 13,8,10,32,5,108,0.5
38,2020-7-24 14,8,8,27,5,107,0.5
39,2020-7-24 15,8,8,40,5,108,0.5
40,2020-7-24 16,8,10,26,6,120,0.5
41,2020-7-24 17,9,13,36,7,119,0.5
42,2020-7-24 18,9,10,28,6,116,0.5
43,2020-7-24 19,9,15,19,8,102,0.5
44,2020-7-24 20,9,20,25,10,74,0.5
45,2020-7-24 21,9,31,27,12,51,0.5
46,2020-7-24 22,11,37,40,11,34,0.5
47,2020-7-24 23,11,35,36,10,27,0.5
