,1,2,3,4,5,6,7
0,2020-7-23 0,9,41,21,16,60,0.6
1,2020-7-23 1,10,47,8,14,23,0.6
2,2020-7-23 2,14,51,23,18,14,0.6
3,2020-7-23 3,14,46,38,18,13,0.6
4,2020-7-23 4,11,34,21,19,15,0.5
5,2020-7-23 5,11,34,18,20,12,0.5
6,2020-7-23 6,14,37,14,17,9,0.5
7,2020-7-23 7,15,34,29,17,10,0.5
8,2020-7-23 8,15,33,30,28,14,0.6
9,2020-7-23 9,14,35,31,76,16,0.7
10,2020-7-23 10,12,26,33,80,44,0.6
11,2020-7-23 11,11,25,45,77,64,0.6
12,2020-7-23 12,10,21,50,76,108,0.6
13,2020-7-23 13,10,15,42,62,124,0.6
14,2020-7-23 14,11,13,34,126,130,0.4
15,2020-7-23 15,10,15,43,28,146,0.5
16,2020-7-23 16,9,9,39,31,159,0.5
17,2020-7-23 17,9,32,48,32,166,0.5
18,2020-7-23 18,9,9,36,28,140,0.5
19,2020-7-23 19,8,29,50,25,121,0.5
20,2020-7-23 20,7,30,53,30,124,0.5
21,2020-7-23 21,7,32,52,45,117,0.6
22,2020-7-23 22,6,34,75,33,135,0.6
23,2020-7-23 23,7,39,73,16,89,0.6
24,2020-7-24 0,8,38,59,4,50,0.6
25,2020-7-24 1,9,36,44,4,27,0.6
26,2020-7-24 2,9,34,33,3,17,0.5
27,2020-7-24 3,9,31,25,3,14,0.5
28,2020-7-24 4,10,27,33,2,14,0.4
29,2020-7-24 5,9,22,27,2,17,0.4
30,2020-7-24 6,9,20,19,2,18,0.4
31,2020-7-24 7,10,28,31,1,11,0.5
32,2020-7-24 8,11,27,35,1,18,0.5
33,2020-7-24 9,13,27,38,0,32,0.5
34,2020-7-24 10,12,28,34,0,60,0.5
35,2020-7-24 11,11,25,55,16,106,0.5
36,2020-7-24 12,12,20,53,32,129,0.5
37,2020-7-24 13,11,16,60,23,137,0.5
38,2020-7-24 14,11,17,65,36,174,0.5
39,2020-7-24 15,10,16,66,34,187,0.4
40,2020-7-24 16,11,17,73,41,201,0.4
41,2020-7-24 17,10,18,68,38,190,0.4
42,2020-7-24 18,10,20,61,37,178,0.5
43,2020-7-24 19,8,21,42,25,168,0.5
44,2020-7-24 20,8,27,47,26,150,0.5
45,2020-7-24 21,10,13,32,31,133,0.6
46,2020-7-24 22,8,32,27,39,110,0.7
47,2020-7-24 23,8,30,22,49,95,0.7
48,2020-7-25 0,8,37,18,40,89,0.6
49,2020-7-25 1,9,45,13,25,51,0.6
50,2020-7-25 2,9,48,17,24,26,0.6
51,2020-7-25 3,11,37,21,20,15,0.5
52,2020-7-25 4,12,36,11,15,11,0.5
53,2020-7-25 5,14,41,1,19,10,0.5
54,2020-7-25 6,16,45,8,20,6,0.5
55,2020-7-25 7,18,42,20,24,8,0.5
56,2020-7-25 8,18,33,35,19,18,0.5
57,2020-7-25 9,20,32,33,48,31,0.5
58,2020-7-25 10,18,32,56,80,57,0.6
59,2020-7-25 11,16,26,60,86,112,0.5
60,2020-7-25 12,15,20,78,86,164,0.5
61,2020-7-25 13,12,15,80,81,164,0.4
62,2020-7-25 14,10,14,75,62,139,0.4
63,2020-7-25 15,9,13,56,64,141,0.3
64,2020-7-25 16,9,14,62,40,133,0.4
65,2020-7-25 17,9,15,68,57,174,0.4
66,2020-7-25 18,9,18,65,51,197,0.5
67,2020-7-25 19,9,21,64,44,178,0.5
68,2020-7-25 20,8,24,61,48,171,0.6
69,2020-7-25 21,8,33,72,56,155,0.6
70,2020-7-25 22,8,38,80,46,124,0.7
71,2020-7-25 23,8,39,76,42,86,0.6
72,2020-7-26 0,8,34,61,32,55,0.6
73,2020-7-26 1,8,29,35,28,39,0.5
74,2020-7-26 2,9,26,30,26,32,0.4
75,2020-7-26 3,9,26,24,22,30,0.4
76,2020-7-26 4,11,28,25,21,24,0.4
77,2020-7-26 5,12,33,23,20,18,0.5
78,2020-7-26 6,13,33,32,26,18,0.4
79,2020-7-26 7,13,30,28,25,20,0.5
80,2020-7-26 8,15,30,37,28,23,0.5
81,2020-7-26 9,17,31,44,49,28,0.6
82,2020-7-26 10,18,30,65,69,42,0.6
83,2020-7-26 11,16,28,64,76,67,0.6
84,2020-7-26 12,14,24,64,88,109,0.6
85,2020-7-26 13,11,18,68,98,149,0.6
86,2020-7-26 14,9,15,59,91,164,0.6
87,2020-7-26 15,8,15,58,89,174,0.6
88,2020-7-26 16,8,15,63,79,172,0.6
89,2020-7-26 17,7,16,61,66,158,0.6
90,2020-7-26 18,7,20,51,66,160,0.6
91,2020-7-26 19,7,24,69,45,166,0.7
