,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,29.889,304.016,0.0188705,66.7409,4.16382,162.577,0.0,0.0382011,769.903,100.665,20.1377,0.94818,428.278,0.0,0.0
1,29.8736,303.739,0.0175562,62.1551,4.65267,171.978,0.0,0.0588922,682.085,100.671,15.8333,1.14987,427.531,0.0,0.0
2,29.6471,303.419,0.0178738,64.176,4.10031,172.013,0.0,0.0650386,627.078,100.678,12.3363,1.01616,427.428,0.0,0.0
3,29.4555,303.419,0.0189354,68.7958,2.44317,168.135,0.0472242,1.0,636.497,100.675,11.1215,1.89003,442.472,0.0,0.0
4,28.5189,302.987,0.0198813,76.5791,2.57759,207.884,8.26002,0.935074,490.162,100.714,19.8524,6.53753,458.394,0.0,0.0
5,28.3099,302.312,0.0200875,78.4039,1.50808,201.199,2.73946,0.786406,362.702,100.738,9.94128,2.05434,429.248,0.0,0.0
6,28.7843,302.383,0.0190654,72.2798,3.05125,196.949,0.0,0.378593,378.039,100.772,6.92296,3.8168,429.953,0.0,0.0
7,29.1915,304.598,0.0182142,67.3537,2.55062,208.322,0.0,0.18994,591.17,100.801,36.2961,13.2017,426.906,140.901,169.311
8,30.0662,308.409,0.0169427,59.3674,2.54354,206.843,0.0,0.18341,832.749,100.822,96.0534,26.9656,426.406,336.184,403.967
9,30.0662,308.409,0.0169427,59.3674,2.54354,206.843,0.0,0.18341,832.749,100.822,96.0534,26.9656,426.406,336.184,403.967
10,31.2153,312.438,0.0154679,50.5071,2.60394,190.184,0.0,0.0941508,1008.19,100.838,164.461,39.3814,427.465,519.657,624.434
11,32.438,316.151,0.0140606,42.5884,2.51137,181.629,0.0,0.0538522,1303.47,100.818,225.436,51.2019,430.24,672.881,808.552
12,33.4394,319.068,0.013464,38.3485,2.67241,167.47,0.0,0.0312602,1426.81,100.783,281.85,60.2734,432.982,787.407,946.169
13,34.3071,321.194,0.0134111,36.2115,2.88441,156.066,0.0,0.0243073,1582.49,100.727,325.039,66.0644,435.459,858.979,1032.17
14,35.1774,322.591,0.0134303,34.3704,2.92156,158.181,0.0,0.0130307,1787.29,100.653,341.959,67.79,434.1,875.991,1052.61
15,35.9684,322.863,0.0145415,35.449,3.36857,175.976,0.0,0.0,2060.29,100.588,345.197,65.3523,443.455,825.016,991.361
16,35.2977,315.553,0.0169377,42.9874,6.39518,132.955,0.0,1.0,1594.96,100.556,229.605,30.3172,481.896,232.368,279.22
17,35.743,314.451,0.0165536,40.8821,4.53507,170.269,0.0,0.0,1899.93,100.528,140.759,21.9343,484.802,139.321,167.412
