,pre_y0,pre_y1,pre_y2,pre_y3,pre_y4,pre_y5
0,2.40151,20.9208,8.17336,5.27729,8.78723,0.124491
1,1.44834,14.8144,6.49054,4.33106,12.7453,0.109056
2,1.27161,13.9154,6.86679,4.40045,12.2296,0.105957
3,0.467429,11.1535,5.259,3.35261,13.78,0.101764
4,0.574856,13.9989,6.05979,3.59303,9.96333,0.104536
5,1.01848,19.7204,10.8618,6.19591,3.65499,0.12259
6,1.76498,21.7531,13.4304,7.64338,3.38709,0.14437
7,2.09068,17.9904,12.271,7.1784,9.33926,0.151683
8,2.8319,15.3822,10.3725,6.25004,15.3661,0.146215
9,4.07106,15.2313,9.35186,5.97863,24.8758,0.140817
10,4.19432,15.5359,8.74157,5.96882,44.4317,0.134563
11,3.87419,15.3255,9.26369,6.69974,73.8188,0.135756
12,3.23262,13.1809,8.74399,6.58254,98.1642,0.133963
13,3.52231,14.1279,9.0113,7.19106,112.163,0.141049
14,3.03396,19.5257,9.84077,7.76907,104.804,0.150717
15,2.83198,23.3817,8.58074,6.51943,84.9993,0.145888
16,3.563,18.4342,6.01044,4.56804,78.8638,0.130098
17,4.25521,20.2101,5.63015,4.10742,66.7487,0.133159
18,4.50282,26.8467,5.75754,3.83567,37.9247,0.137024
19,4.16682,30.1976,5.98406,3.74356,13.8135,0.137334
20,4.57837,28.2586,6.08211,3.72439,5.47627,0.138052
21,4.75995,25.1561,6.11349,3.68543,3.71936,0.132526
22,4.75656,22.5828,5.53998,3.34748,4.7134,0.123612
23,4.27933,20.0769,5.10054,3.04691,6.21709,0.114762
24,3.169899,21.08095,5.319408,3.174649,4.754189,0.119331
25,2.259686,19.50119,5.396713,3.137726,6.081626,0.11206709
26,2.16008,19.63252,6.064476,3.45276,5.693077,0.11185181
27,1.997971,21.10539,6.985089,3.897656,4.540909,0.11715
28,2.239094,23.77012,8.23871,4.509736,2.358043,0.1336937
29,3.310451,27.21654,13.12976,7.054857,0.35429127,0.1706884
30,2.715101,25.66282,16.97063,9.377878,1.719941,0.178769
31,1.800815,20.19468,10.443289,5.948631,6.995734,0.1562937
32,2.09326,16.77172,9.132202,5.378697,13.19827,0.1509053
33,2.526725,15.70706,10.994622,7.021012,24.07423,0.1508133
34,2.636081,15.12005,12.28645,8.427401,43.18287,0.148677
35,2.462099,13.34007,12.65714,9.163215,67.72214,0.1473011
36,2.259336,12.33514,12.80717,9.544015,89.22459,0.1452484
37,1.981974,12.96037,12.61189,9.789122,103.35828,0.1448476
38,1.948974,15.49486,10.603336,8.257204,102.59257,0.1433568
39,1.878378,19.40701,9.328911,7.169578,95.10471,0.1423675
40,1.677056,21.36624,8.353927,6.281779,89.27752,0.1458241
41,2.243184,24.53611,8.025407,5.834415,70.39298,0.1473343
42,3.504524,27.35878,6.551126,4.284096,33.68158,0.1357886
43,4.068352,27.94772,6.180932,3.868081,15.11528,0.1324085
44,4.645459,27.18933,6.485247,3.990483,7.560753,0.1343747
45,4.668059,27.03308,6.638062,4.071745,5.643246,0.1338527
46,4.120185,26.43621,6.294498,4.010161,5.479689,0.1317544
47,3.44263,25.90043,5.710715,3.775496,4.912403,0.1327872
48,2.644118,25.07831,5.490792,3.632893,6.624008,0.1293816
49,3.054425,26.88576,5.817316,3.724868,3.362975,0.1371241
50,3.112786,25.07879,5.99906,3.78438,1.898551,0.13743
51,1.87221,18.31818,5.485245,3.37432,3.487278,0.1189468
52,1.403982,16.50348,5.015817,2.945593,4.233698,0.1120103
53,1.641892,19.17679,6.140156,3.527362,3.5258,0.1181488
54,2.120973,23.06282,8.764677,5.08642,2.637355,0.1414866
55,2.700337,22.07708,8.89915,5.266632,5.954504,0.1555223
56,2.47753,19.59129,7.428144,4.422081,12.65133,0.1475085
57,2.092773,17.31891,6.691674,4.336371,23.91788,0.1391248
58,1.671473,15.61251,6.434242,4.564547,47.19697,0.1305221
59,1.624595,13.79605,7.406437,5.542235,71.89018,0.130011
60,1.646294,12.70889,8.625208,6.605277,87.4992,0.1307437
61,1.64789,13.70312,9.310726,7.173018,91.32187,0.131066
62,1.814716,14.529,9.291057,7.180799,98.33495,0.1371037
63,1.921923,15.01469,8.791479,6.80448,103.16458,0.1406568
64,1.966095,16.62912,8.734651,6.798615,100.72889,0.141699
65,2.396111,22.44032,10.277946,7.866167,91.66405,0.1530661
66,2.795119,26.99667,8.83527,5.894893,43.40949,0.1367475
67,2.454724,25.20928,7.802204,4.765057,15.07161,0.1290098
68,2.423094,24.03102,8.1053,4.875796,7.409264,0.1321064
69,2.637577,24.27226,8.715624,5.271125,5.306441,0.1362729
70,2.775524,23.27649,8.224298,5.036275,4.451614,0.1385346
71,2.647897,21.93499,7.142085,4.42492,4.449321,0.1365313
72,2.822181,26.41401,6.671223,4.291043,5.936507,0.1411775
73,3.024112,24.84184,5.991263,3.620734,5.673567,0.1317135
74,2.255966,20.3341,5.54381,3.234662,6.164497,0.1184569
75,1.884811,18.73519,5.356591,3.111353,6.111354,0.1139268
76,1.767293,18.20312,6.019597,3.475478,5.542012,0.1132837
77,1.78775,19.06647,7.526732,4.335534,3.08763,0.1204389
78,1.968036,20.2264,10.436813,5.994286,2.937021,0.1393197
79,2.691777,17.98166,10.74093,6.225077,7.002643,0.1572547
80,2.597326,14.34927,10.043299,5.953323,16.1492,0.1469461
81,2.286513,12.75068,9.27972,5.722906,32.23395,0.1345873
82,2.017115,11.15191,9.002512,5.893566,53.18073,0.1251854
83,1.801986,9.398962,8.892796,6.05522,72.56054,0.1221333
84,1.672488,8.914233,8.58955,6.044085,83.2507,0.122043
85,1.698089,9.645207,8.071286,5.765113,86.35673,0.1216489
86,1.419451,9.993291,7.477819,5.412476,84.55808,0.1213151
87,0.8950691,10.8781,6.019687,4.386202,69.79724,0.1153701
88,0.6781181,12.17028,5.029902,3.339777,52.03185,0.1130264
89,1.654746,12.96137,5.539483,3.247078,34.1286,0.1086815
90,2.457052,14.76855,6.660627,3.698659,20.27388,0.1085076
91,2.129388,15.33565,7.24515,4.00969,10.372637,0.1089239
92,2.167168,15.15943,8.075156,4.433301,5.869887,0.1111972
93,2.096774,14.83786,8.702263,4.765135,5.218451,0.1099344
94,1.984579,13.39776,8.471369,4.614878,7.540213,0.1044385
95,1.944441,12.19935,8.295745,4.467869,8.605064,0.1008661
96,1.850322,12.11845,7.274797,4.003882,6.806837,0.10096146
97,1.2490378,10.81387,6.408536,3.514466,8.34574,0.09628887
98,1.150945,11.38704,6.538461,3.646213,8.327268,0.0969055
99,1.147247,12.68234,6.97245,3.884595,7.684824,0.09942376
100,1.27976,14.34655,7.554192,4.140258,6.444907,0.10261724
101,1.4510844,17.24473,9.983904,5.447787,4.337305,0.1113788
102,1.399139,18.16338,12.28358,6.801938,5.179843,0.1232937
103,1.121826,13.51782,11.00411,6.161047,11.68907,0.122918
104,1.412571,12.71614,10.481208,5.977999,16.29518,0.1322258
105,1.511542,13.86145,9.880908,5.875832,22.14504,0.1332915
106,1.675532,16.39799,7.484781,4.583291,29.85281,0.1390285
107,1.876237,16.87681,9.620726,6.49373,43.64031,0.1463164
108,1.3696712,14.90806,8.581792,5.925507,52.33008,0.1362224
109,1.467445,15.03925,6.320276,4.071719,39.6476,0.1301565
110,1.4378571,13.40126,5.504048,3.441249,39.94876,0.1213868
111,1.2851647,13.6752,5.513358,3.209868,34.13869,0.1144281
112,1.1392778,15.15384,6.821529,3.949351,30.67831,0.1180443
113,1.57741,18.15568,7.258831,4.089741,23.90798,0.1199838
114,2.491086,21.02743,7.333784,4.120822,13.931,0.1254982
115,2.361337,20.46051,8.558107,4.661941,8.38301,0.1239166
116,2.27578,19.81042,10.062301,5.420588,5.762388,0.128032
117,2.403174,20.1186,11.11683,5.907825,4.717902,0.1287841
118,2.553937,18.87216,10.9089,5.71944,6.198793,0.1221364
119,3.439199,18.59577,10.901692,5.628081,6.616567,0.1184382
120,3.317581,20.06459,11.65337,6.115688,5.050036,0.1134153
121,2.708181,21.62257,12.43725,6.193935,3.088813,0.1153877
122,2.726108,23.07495,11.90468,5.85824,1.708451,0.1210455
123,2.758111,22.90037,12.40449,6.065556,1.873427,0.1187363
124,2.978241,22.0989,11.1246,5.43162,2.422942,0.1167971
125,3.10032,23.86809,12.36264,6.031279,1.446986,0.1267004
126,3.645481,24.91716,15.21002,7.87785,2.086858,0.1512979
127,4.541299,19.83729,14.47513,7.698437,7.675913,0.1543707
128,3.281714,16.80143,11.9967,6.732393,11.91019,0.147351
129,3.00929,15.5585,12.13913,7.194022,19.15753,0.1389314
130,1.603416,18.09596,7.367601,4.473567,26.95706,0.1395723
131,1.808742,18.11431,7.451516,5.020197,42.01673,0.1471912
132,2.542545,18.48335,7.495652,5.250856,51.46039,0.1396321
133,1.506538,17.74828,5.066467,3.407097,51.28436,0.1293494
134,1.488573,18.05482,5.51306,3.678245,51.1962,0.1315574
