,0,1,2,3,4
0,29.7,74.0,1007.2,1.3,96.6
1,29.3,76.0,1007.0,1.3,78.7
2,29.1,79.0,1007.1,0.9,2.5
3,29.0,80.0,1007.1,0.9,81.9
4,28.9,80.0,1007.0,0.8,122.9
5,28.4,83.0,1007.1,0.8,259.5
6,28.8,82.0,1007.6,0.5,83.5
7,30.1,74.0,1007.8,1.5,117.8
8,30.8,69.0,1008.0,1.2,119.7
9,32.2,64.0,1008.2,1.2,308.5
10,32.4,64.0,1008.1,1.0,232.4
11,33.9,57.0,1007.7,1.2,256.3
12,34.6,52.0,1007.0,1.4,251.4
13,35.2,48.0,1006.3,1.5,214.2
14,35.4,48.0,1005.7,1.7,106.5
15,34.5,56.0,1005.4,2.4,92.3
16,34.2,59.0,1005.0,2.1,106.6
17,34.1,59.0,1004.8,1.7,111.0
18,33.7,60.0,1005.0,1.6,110.7
19,33.0,61.0,1005.3,2.3,256.9
20,32.3,63.0,1005.9,1.8,266.8
21,31.6,67.0,1006.6,1.6,278.1
22,31.1,69.0,1007.3,1.8,259.9
23,30.7,69.0,1007.4,2.5,227.0
24,30.4,69.0,1007.3,1.8,235.0
25,30.2,71.0,1007.0,1.2,242.5
26,29.7,75.0,1006.6,0.9,250.7
27,29.4,78.0,1006.3,0.8,270.8
28,29.1,80.0,1006.6,0.8,271.3
29,28.9,81.0,1007.0,0.6,275.5
30,29.3,79.0,1007.5,1.0,265.8
31,29.8,78.0,1008.2,0.9,275.5
32,31.7,66.0,1008.4,1.1,256.1
33,32.5,61.0,1008.4,1.4,254.6
34,33.3,56.0,1007.9,1.4,257.4
35,34.7,52.0,1007.4,1.0,245.7
36,35.1,50.0,1006.7,1.6,256.5
37,36.0,48.0,1005.8,1.6,259.0
38,36.3,48.0,1005.1,1.7,226.3
39,36.6,47.0,1004.4,1.1,193.5
40,37.4,45.0,1003.8,1.1,269.0
41,35.9,52.0,1003.4,1.8,115.2
42,33.9,64.0,1003.3,2.4,118.2
43,33.2,66.0,1003.8,2.1,123.5
44,33.0,65.0,1004.4,1.8,250.4
45,32.6,64.0,1005.0,2.1,257.7
46,32.0,68.0,1005.6,2.0,239.9
47,31.6,71.0,1005.9,1.8,228.8
48,31.4,71.0,1005.8,1.6,227.1
49,31.1,71.0,1005.6,0.9,241.1
50,30.6,73.0,1005.5,1.0,257.3
51,30.1,74.0,1005.4,1.1,265.9
52,29.7,74.0,1005.5,1.2,266.9
53,29.6,75.0,1005.4,1.3,258.9
54,29.6,77.0,1005.8,1.4,241.6
55,30.4,74.0,1006.1,1.9,250.7
56,31.2,69.0,1006.3,2.0,255.2
57,32.4,64.0,1006.3,1.8,249.8
58,33.6,59.0,1006.0,1.3,251.7
59,34.3,58.0,1005.6,1.6,218.4
60,35.6,54.0,1004.9,1.8,261.2
61,35.9,51.0,1004.1,1.5,262.3
62,37.1,46.0,1003.3,1.3,240.8
63,37.3,46.0,1002.6,1.3,176.9
64,36.3,53.0,1002.2,1.9,113.8
65,34.6,62.0,1002.3,2.4,122.4
66,34.2,64.0,1002.6,2.0,114.3
67,33.8,64.0,1003.4,1.8,256.9
68,33.1,64.0,1004.1,2.5,240.8
69,32.5,65.0,1004.5,2.0,252.4
70,32.2,65.0,1005.1,1.4,267.0
71,31.8,67.0,1005.4,1.7,258.0
72,31.2,71.0,1005.1,1.7,250.8
73,30.8,74.0,1004.8,1.8,225.7
74,30.8,70.0,1004.3,1.3,237.0
75,30.4,71.0,1003.9,1.3,246.7
76,30.2,74.0,1003.9,1.5,234.7
77,30.1,76.0,1004.2,1.4,237.1
78,29.9,78.0,1004.8,1.3,253.1
79,30.8,74.0,1005.2,1.5,251.7
80,31.7,69.0,1005.5,1.7,243.3
81,32.4,65.0,1005.7,2.1,228.4
82,33.4,61.0,1005.7,1.7,243.2
83,34.6,58.0,1005.4,1.5,245.2
84,34.9,56.0,1004.7,1.7,222.4
85,35.8,52.0,1003.6,1.6,221.4
86,36.2,51.0,1002.5,1.5,118.2
87,34.8,58.0,1002.1,2.4,123.6
88,33.9,62.0,1002.1,2.4,109.9
89,34.2,61.0,1001.7,2.0,145.7
90,33.9,59.0,1001.8,2.6,237.7
91,33.1,60.0,1002.3,2.4,227.8
92,32.4,62.0,1002.8,1.7,269.1
93,31.9,61.0,1003.5,1.6,262.9
94,31.4,65.0,1004.3,1.4,284.4
95,31.1,67.0,1004.4,1.5,251.4
96,30.6,72.0,1004.4,1.7,262.7
97,30.2,74.0,1004.1,2.2,235.4
98,30.0,72.0,1003.8,1.8,230.4
99,29.8,73.0,1003.5,1.5,238.0
100,29.7,74.0,1003.5,1.0,243.4
101,29.6,75.0,1003.6,1.0,257.0
102,29.8,75.0,1004.0,1.1,107.9
103,30.9,71.0,1004.4,1.2,227.1
104,31.0,70.0,1004.9,1.6,240.5
105,32.5,64.0,1004.8,1.3,245.9
106,32.5,63.0,1004.6,1.8,236.0
107,33.9,56.0,1004.2,1.8,249.3
108,35.0,53.0,1004.0,1.8,249.2
109,34.9,53.0,1003.4,2.0,238.9
110,34.7,54.0,1002.8,2.1,153.1
111,32.9,64.0,1002.4,2.6,129.3
112,33.7,61.0,1001.9,2.5,124.7
113,33.6,64.0,1001.8,2.1,126.0
114,33.9,56.0,1002.0,2.0,243.4
115,32.9,60.0,1002.7,2.6,240.4
116,32.0,65.0,1003.5,2.6,227.7
117,31.4,69.0,1004.3,2.4,237.2
118,30.9,73.0,1005.1,2.0,254.9
119,30.5,75.0,1005.3,1.3,335.1
120,30.2,77.0,1005.0,1.3,270.7
121,30.1,76.0,1004.7,1.5,258.0
122,29.8,77.0,1004.3,1.7,275.4
123,29.7,79.0,1004.7,1.5,258.4
124,29.8,78.0,1004.9,1.4,261.2
125,29.8,78.0,1005.4,1.5,246.3
126,29.8,80.0,1005.8,0.9,262.1
127,29.8,78.0,1006.2,0.8,275.2
128,31.4,68.0,1006.5,1.3,247.4
129,32.1,64.0,1006.5,1.4,260.8
130,33.3,60.0,1006.6,1.4,243.6
131,34.2,56.0,1006.1,1.6,228.4
132,35.0,53.0,1005.3,1.6,235.0
133,32.6,64.0,1004.8,2.0,186.6
134,31.3,69.0,1004.3,1.8,66.2
135,32.6,64.0,1003.5,2.0,108.1
136,34.1,60.0,1003.0,2.1,85.7
137,33.2,62.0,1003.1,2.4,72.5
138,31.1,68.0,1003.5,2.0,245.9
139,31.6,71.0,1004.1,1.2,317.3
140,31.9,69.0,1005.1,1.5,258.7
141,31.6,68.0,1005.9,1.9,236.9
142,31.2,69.0,1006.4,1.7,240.3
143,30.7,73.0,1006.3,1.0,67.2
144,30.4,74.0,1005.9,1.1,310.3
145,30.0,77.0,1005.3,1.1,64.1
146,30.0,77.0,1004.9,1.0,250.1
147,29.9,78.0,1004.8,1.1,256.6
148,29.6,79.0,1004.9,1.0,260.3
149,29.3,80.0,1005.0,1.1,268.2
150,29.6,79.0,1005.6,0.8,268.5
151,30.8,74.0,1006.1,1.0,254.5
152,31.6,67.0,1006.3,1.1,232.5
153,32.8,61.0,1006.5,1.3,241.7
154,33.4,59.0,1006.2,1.2,266.9
155,34.3,55.0,1005.8,1.1,256.3
156,35.7,50.0,1005.1,1.1,326.9
157,35.9,50.0,1004.0,1.4,19.1
158,36.0,48.0,1003.2,1.5,47.9
159,35.9,48.0,1002.8,1.6,118.6
160,34.1,59.0,1002.8,2.5,127.4
161,33.0,64.0,1002.9,2.3,115.6
162,32.4,65.0,1004.0,2.2,114.3
163,31.3,73.0,1004.9,2.6,97.4
164,30.8,73.0,1005.6,1.7,94.9
165,30.3,74.0,1005.8,1.7,78.1
166,30.1,76.0,1006.2,1.6,78.0
167,29.9,78.0,1006.2,1.4,51.9
168,29.6,80.0,1006.1,1.7,56.2
169,29.3,82.0,1005.6,1.5,54.9
170,28.9,84.0,1005.5,1.4,64.5
171,28.8,84.0,1005.5,1.4,69.3
172,28.7,84.0,1005.5,1.6,64.8
173,28.6,83.0,1005.5,1.8,65.3
174,28.9,82.0,1005.7,1.2,59.0
175,29.7,77.0,1005.9,1.6,63.5
176,30.3,72.0,1006.2,1.7,56.0
177,31.4,65.0,1006.4,1.5,89.7
178,32.3,62.0,1006.3,1.3,61.8
179,32.8,59.0,1005.8,1.7,66.3
180,33.5,55.0,1005.4,2.3,73.7
181,34.3,53.0,1004.6,2.1,67.2
182,34.7,52.0,1003.4,2.1,53.1
183,32.5,59.0,1003.2,3.3,109.1
184,32.3,60.0,1003.0,1.3,41.4
185,32.7,60.0,1002.8,0.9,64.6
186,32.5,60.0,1002.7,1.1,77.2
187,32.2,60.0,1004.0,1.6,110.8
188,31.1,68.0,1005.0,1.2,95.5
189,30.9,71.0,1005.4,1.1,98.4
190,30.6,72.0,1005.3,1.2,71.2
191,30.3,71.0,1005.0,1.6,58.6
192,30.0,70.0,1004.5,1.6,69.7
193,29.7,73.0,1003.7,1.4,64.1
194,29.6,72.0,1003.1,1.8,66.1
195,29.2,74.0,1002.4,1.7,64.2
196,28.8,76.0,1002.2,1.8,50.1
197,28.5,76.0,1002.3,1.7,48.7
198,28.7,75.0,1002.6,2.0,38.0
199,29.4,72.0,1003.3,2.5,43.1
200,29.7,70.0,1003.6,3.0,44.2
201,28.8,77.0,1004.1,2.5,63.7
202,28.7,80.0,1004.3,2.7,81.3
203,30.0,71.0,1003.8,3.6,80.2
204,30.5,68.0,1003.4,3.4,76.3
205,30.7,66.0,1002.9,4.0,78.6
206,30.7,66.0,1002.1,3.8,67.5
207,30.2,69.0,1001.6,2.8,79.8
208,28.6,80.0,1001.4,3.0,72.6
209,29.3,72.0,1001.2,4.0,75.8
210,28.7,74.0,1001.1,3.7,66.0
211,27.8,80.0,1002.0,3.5,64.7
212,26.5,89.0,1002.6,2.4,61.7
213,26.9,87.0,1003.6,3.1,59.2
214,26.8,87.0,1003.8,2.4,56.4
215,27.2,84.0,1003.3,2.6,56.5
216,27.2,84.0,1003.0,2.5,65.5
217,26.5,88.0,1002.7,2.2,61.4
218,26.4,90.0,1002.4,2.1,60.6
219,26.7,89.0,1001.9,2.2,52.2
220,27.0,86.0,1001.8,2.6,63.0
221,26.6,89.0,1001.8,2.7,61.4
222,26.6,90.0,1002.0,2.6,62.3
223,27.4,85.0,1002.2,2.9,63.2
224,28.2,81.0,1002.6,3.5,69.9
225,28.1,83.0,1002.8,3.1,76.1
226,28.4,82.0,1002.9,3.8,77.6
227,28.5,83.0,1002.7,2.8,67.3
228,28.9,82.0,1002.2,3.3,80.6
229,27.7,86.0,1001.8,3.3,99.4
230,27.4,88.0,1001.7,2.3,87.7
231,27.2,90.0,1001.3,2.0,70.7
232,27.0,90.0,1001.3,2.7,75.4
233,25.9,90.0,1001.7,2.4,91.6
234,26.6,88.0,1002.0,1.7,93.3
235,26.6,90.0,1002.2,1.6,65.8
236,26.6,90.0,1002.7,2.1,68.2
237,26.5,89.0,1003.4,1.9,66.1
238,26.6,88.0,1004.1,2.0,65.6
239,26.1,92.0,1004.0,1.8,56.0
240,26.0,93.0,1003.5,1.7,54.9
241,26.2,92.0,1002.9,2.0,60.4
242,26.4,91.0,1002.3,2.2,59.8
243,26.1,92.0,1002.0,2.2,56.5
244,25.9,95.0,1001.8,1.8,65.8
245,25.8,95.0,1001.8,1.8,63.5
246,25.8,96.0,1002.1,2.0,71.1
247,25.7,96.0,1002.4,1.9,69.2
248,26.1,95.0,1002.9,1.9,66.4
249,26.8,92.0,1002.8,1.3,63.5
250,27.5,89.0,1002.7,0.7,60.6
251,28.9,84.0,1001.9,0.7,47.7
252,29.8,77.0,1001.3,1.4,105.2
253,29.5,78.0,1001.1,1.0,244.5
254,27.6,87.0,1000.8,1.3,258.9
255,27.0,93.0,1001.2,1.0,46.1
256,27.3,91.0,1002.0,0.8,68.7
257,27.4,91.0,1002.6,0.6,78.7
258,27.2,90.0,1003.2,1.1,58.6
259,27.1,88.0,1003.7,1.0,64.1
260,27.1,88.0,1003.3,1.6,62.3
261,26.9,89.0,1002.8,1.7,60.4
262,26.6,89.0,1002.2,1.7,63.3
263,26.5,91.0,1001.6,1.5,44.8
264,26.2,93.0,1001.0,1.7,58.0
265,26.1,93.0,1000.7,2.3,85.6
266,26.3,91.0,1001.0,2.0,88.7
267,26.4,92.0,1001.6,1.4,92.0
268,26.8,92.0,1002.0,1.1,84.6
269,26.8,92.0,1002.3,1.4,66.8
270,27.9,86.0,1002.6,1.5,65.5
271,28.6,82.0,1002.6,1.5,58.3
272,27.1,89.0,1002.4,1.2,89.9
273,27.4,89.0,1001.9,0.8,24.5
274,28.4,84.0,1001.3,1.4,83.1
275,27.6,88.0,1000.9,1.7,47.0
276,26.6,94.0,1000.2,1.4,73.4
277,27.2,91.0,1000.0,1.0,102.2
278,27.3,90.0,1000.2,0.9,94.1
279,27.1,90.0,1000.3,1.2,112.4
280,27.0,90.0,1000.9,0.9,93.1
281,26.9,91.0,1001.5,1.1,106.5
282,27.0,91.0,1002.0,1.1,106.7
283,27.1,90.0,1002.3,0.6,60.8
284,27.0,91.0,1002.4,0.8,95.5
285,27.0,91.0,1002.2,0.8,93.5
286,26.8,92.0,1001.7,0.4,29.9
287,26.8,93.0,1001.4,0.4,74.3
288,26.7,92.0,1001.2,0.6,25.1
289,26.8,91.0,1001.2,0.6,64.7
290,26.6,93.0,1001.1,0.4,58.7
291,26.7,94.0,1001.4,0.6,72.9
292,27.1,90.0,1001.8,1.0,92.0
293,28.1,84.0,1002.0,1.0,106.9
294,29.4,76.0,1002.5,1.1,71.8
295,29.9,75.0,1002.5,1.4,61.3
296,30.8,71.0,1002.3,1.9,71.5
297,31.3,66.0,1001.8,1.6,82.4
298,32.1,64.0,1001.4,1.6,79.6
299,31.6,66.0,1000.8,1.7,95.1
300,31.4,68.0,1000.5,2.4,106.4
301,30.9,69.0,1000.1,2.1,121.6
302,30.2,74.0,1000.4,2.0,114.7
303,29.6,76.0,1001.2,2.1,109.1
304,29.1,78.0,1002.0,1.9,113.9
305,28.7,80.0,1002.8,1.7,114.1
306,28.5,82.0,1003.5,1.9,113.9
307,28.1,84.0,1003.8,1.6,113.2
308,27.8,85.0,1003.8,1.1,105.1
309,27.5,89.0,1004.1,1.0,99.7
310,27.4,91.0,1004.0,1.4,108.1
311,27.4,89.0,1003.7,1.0,113.9
312,27.4,88.0,1003.3,1.6,120.9
313,27.6,88.0,1003.4,1.6,122.4
314,27.6,88.0,1003.6,1.5,126.3
315,27.6,88.0,1004.0,1.1,85.8
316,27.4,89.0,1004.4,1.6,94.1
317,26.8,92.0,1005.1,1.4,101.1
318,26.2,94.0,1005.5,1.8,110.3
319,26.7,93.0,1006.0,1.2,105.2
320,27.0,92.0,1006.0,1.3,105.8
321,27.6,89.0,1006.1,1.1,91.2
322,27.8,90.0,1005.7,0.8,67.7
323,28.2,88.0,1005.5,1.3,65.5
324,26.3,92.0,1005.8,1.4,127.6
325,25.8,95.0,1006.0,1.5,93.2
326,25.7,95.0,1006.2,0.9,94.2
327,25.7,96.0,1006.6,0.7,68.3
328,25.7,96.0,1007.2,1.1,93.5
329,25.7,96.0,1007.8,0.7,75.5
330,25.9,96.0,1008.8,0.9,65.2
331,26.1,96.0,1009.3,1.0,65.1
332,25.8,96.0,1009.5,1.4,87.3
333,26.1,95.0,1009.3,1.6,97.1
334,26.2,93.0,1008.8,2.4,120.4
335,26.1,94.0,1008.1,1.7,118.0
336,26.0,94.0,1007.5,0.8,116.3
337,25.8,95.0,1007.4,0.6,52.5
338,25.6,96.0,1007.6,0.8,75.2
339,25.6,96.0,1008.0,0.8,74.4
340,26.5,91.0,1008.4,1.3,46.9
341,27.9,85.0,1009.0,1.4,46.6
342,29.2,80.0,1009.0,1.5,54.9
343,30.5,76.0,1009.0,1.7,74.2
344,30.8,73.0,1008.8,2.2,87.2
345,31.9,67.0,1008.2,2.2,97.6
346,32.3,65.0,1007.5,2.4,100.9
347,32.9,61.0,1006.7,2.0,100.6
348,33.2,60.0,1006.1,2.2,110.9
