,0,1,2,3,4,5
0,4.0,12.0,3.0,3.0,23.0,0.4
1,3.0,11.0,3.0,1.0,24.0,0.4
2,4.0,13.0,14.0,2.0,20.0,0.4
3,4.0,12.0,12.0,1.0,20.0,0.4
4,4.0,13.0,7.0,0.0,18.0,0.4
5,4.0,20.0,17.0,0.0,11.0,0.5
6,5.0,19.0,6.0,5.0,11.0,0.5
7,5.0,9.0,7.0,4.0,24.0,0.5
8,6.0,9.0,25.0,3.0,30.0,0.5
9,6.0,15.0,28.0,1.0,33.0,0.5
10,6.0,17.0,52.0,5.0,58.0,0.5
11,7.0,16.0,28.0,10.0,115.0,0.5
12,6.0,10.0,38.0,12.0,144.0,0.5
13,6.0,8.0,32.0,15.0,140.0,0.4
14,6.0,8.0,21.0,9.0,147.0,0.4
15,5.0,14.0,52.0,8.0,149.0,0.5
16,4.0,14.0,48.0,19.0,126.0,0.5
17,4.0,13.0,33.0,11.0,116.0,0.5
18,4.0,14.0,34.0,11.0,88.0,0.5
19,5.0,12.0,36.0,8.0,76.0,0.5
20,5.0,12.0,27.0,8.0,51.0,0.5
21,5.0,15.0,18.0,6.0,31.0,0.6
22,6.0,15.0,14.0,4.0,20.0,0.6
23,6.0,13.0,12.0,4.0,18.0,0.6
24,6.0,9.0,6.0,2.0,18.0,0.6
25,6.0,11.0,14.0,0.0,16.0,0.5
26,8.0,19.0,10.0,1.0,9.0,0.5
27,5.0,15.0,21.0,1.0,10.0,0.5
28,5.0,21.0,17.0,1.0,4.0,0.5
29,5.0,18.0,21.0,3.0,6.0,0.5
30,5.0,18.0,9.0,3.0,5.0,0.5
31,6.0,19.0,31.0,5.0,8.0,0.6
32,9.0,14.0,8.0,8.0,22.0,0.5
33,9.0,13.0,46.0,5.0,36.0,0.5
34,8.0,11.0,44.0,5.0,75.0,0.5
35,7.0,9.0,40.0,8.0,114.0,0.5
36,6.0,8.0,30.0,7.0,136.0,0.5
37,5.0,5.0,29.0,10.0,134.0,0.5
38,5.0,6.0,28.0,8.0,146.0,0.5
39,5.0,7.0,34.0,9.0,153.0,0.5
40,5.0,7.0,39.0,14.0,157.0,0.4
41,5.0,15.0,55.0,17.0,155.0,0.5
42,4.0,21.0,64.0,18.0,99.0,0.5
43,4.0,23.0,29.0,11.0,67.0,0.5
44,5.0,16.0,23.0,10.0,45.0,0.6
45,5.0,15.0,8.0,6.0,28.0,0.6
46,6.0,20.0,15.0,6.0,19.0,0.6
47,5.0,13.0,19.0,8.0,22.0,0.6
48,4.0,11.0,8.0,6.0,22.0,0.5
49,5.0,15.0,5.0,3.0,16.0,0.5
50,9.0,24.0,6.0,2.0,7.0,0.5
51,7.0,20.0,13.0,3.0,8.0,0.5
52,5.0,17.0,11.0,3.0,8.0,0.5
53,4.0,13.0,11.0,3.0,14.0,0.5
54,4.0,11.0,9.0,0.0,15.0,0.5
55,5.0,7.0,5.0,0.0,20.0,0.5
56,5.0,5.0,20.0,0.0,27.0,0.5
57,5.0,7.0,41.0,2.0,43.0,0.5
58,6.0,8.0,40.0,6.0,76.0,0.5
59,7.0,9.0,41.0,10.0,120.0,0.5
60,6.0,5.0,37.0,14.0,130.0,0.5
61,6.0,4.0,40.0,14.0,129.0,0.5
62,5.0,4.0,28.0,14.0,139.0,0.4
63,5.0,7.0,40.0,17.0,168.0,0.5
64,6.0,11.0,55.0,18.0,153.0,0.5
65,5.0,16.0,58.0,20.0,117.0,0.5
66,4.0,21.0,45.0,12.0,87.0,0.5
67,5.0,17.0,35.0,11.0,64.0,0.5
68,6.0,13.0,21.0,10.0,45.0,0.6
69,6.0,14.0,18.0,6.0,32.0,0.7
70,6.0,16.0,8.0,8.0,24.0,0.6
71,6.0,18.0,16.0,6.0,20.0,0.6
72,5.0,10.0,16.0,4.0,25.0,0.5
73,4.0,10.0,12.0,3.0,23.0,0.5
74,7.0,15.0,8.0,5.0,20.0,0.5
75,7.0,12.0,13.0,3.0,23.0,0.5
76,6.0,10.0,18.0,3.0,24.0,0.5
77,8.0,11.0,16.0,6.0,22.0,0.5
78,5.0,9.0,15.0,4.0,21.0,0.5
79,5.0,9.0,6.0,4.0,21.0,0.5
80,5.0,6.0,27.0,6.0,33.0,0.5
81,5.0,5.0,43.0,4.0,56.0,0.5
82,7.0,5.0,42.0,6.0,78.0,0.5
83,8.0,5.0,38.0,11.0,101.0,0.5
84,7.0,4.0,33.0,10.0,110.0,0.5
85,6.0,4.0,32.0,14.0,123.0,0.5
86,5.0,5.0,33.0,15.0,124.0,0.5
87,5.0,12.0,46.0,15.0,114.0,0.5
88,5.0,12.0,41.0,11.0,88.0,0.5
89,5.0,15.0,26.0,10.0,73.0,0.5
90,5.0,9.0,25.0,7.0,57.0,0.5
91,4.0,10.0,19.0,4.0,40.0,0.5
92,5.0,12.0,11.0,1.0,25.0,0.5
93,6.0,12.0,4.0,2.0,19.0,0.5
94,5.0,12.0,6.0,3.0,18.0,0.5
95,5.0,9.0,4.0,5.0,19.0,0.5
96,5.0,7.0,17.0,3.0,20.0,0.5
97,4.0,6.0,5.0,3.0,22.0,0.5
98,5.0,6.0,9.0,2.0,21.0,0.5
99,5.0,7.0,6.0,0.0,20.0,0.5
100,5.0,8.0,10.0,0.0,20.0,0.5
101,4.0,11.0,8.0,0.0,16.0,0.5
102,6.0,12.0,8.0,0.0,15.0,0.5
103,5.0,7.0,9.0,0.0,20.0,0.6
104,7.0,10.0,34.0,0.0,23.0,0.5
105,9.0,10.0,37.0,3.0,41.0,0.5
106,7.0,10.0,39.0,8.0,58.0,0.5
107,6.0,6.0,42.0,14.0,76.0,0.5
108,6.0,3.0,45.0,19.0,77.0,0.4
109,6.0,3.0,48.0,3.0,77.0,0.4
110,5.0,7.0,50.0,3.0,74.0,0.4
111,4.0,11.0,53.0,6.0,65.0,0.4
112,4.0,14.0,25.0,5.0,68.0,0.4
113,4.0,18.0,43.0,8.0,60.0,0.5
114,5.0,14.0,23.0,6.0,43.0,0.5
115,5.0,12.0,18.0,3.0,31.0,0.5
116,5.0,13.0,12.0,4.0,25.0,0.5
117,4.0,8.0,10.0,5.0,23.0,0.5
118,4.0,9.0,10.0,4.0,19.0,0.5
119,4.0,8.0,11.0,1.0,18.0,0.5
120,4.0,9.0,9.0,2.0,18.0,0.5
121,5.0,9.0,14.0,3.0,17.0,0.5
122,5.0,6.0,15.0,3.0,18.0,0.5
123,5.0,7.0,10.0,2.0,16.0,0.5
124,5.0,7.0,13.0,2.0,17.0,0.5
125,5.0,10.0,17.0,1.0,16.0,0.6
126,5.0,17.0,18.0,3.0,7.0,0.5
127,5.0,16.0,32.0,3.0,9.0,0.6
128,6.0,9.0,9.0,3.0,22.0,0.5
129,4.0,7.0,45.0,1.0,33.0,0.4
130,5.0,6.0,25.0,0.0,51.0,0.4
131,4.0,5.0,37.0,1.0,73.0,0.4
132,5.0,4.0,16.0,7.0,99.0,0.5
133,6.0,13.0,46.0,9.0,95.0,0.5
134,4.0,37.0,26.0,9.0,72.0,0.5
135,4.0,21.0,13.0,17.0,92.0,0.5
136,5.0,15.0,25.0,11.0,108.0,0.5
137,4.0,14.0,46.0,10.0,78.0,0.5
138,3.0,12.0,24.0,9.0,58.0,0.5
139,4.0,33.0,13.0,6.0,27.0,0.8
140,5.0,32.0,21.0,13.0,12.0,0.7
141,6.0,20.0,15.0,11.0,12.0,0.7
142,6.0,18.0,14.0,6.0,10.0,0.7
143,6.0,19.0,23.0,3.0,7.0,0.7
144,6.0,13.0,14.0,2.0,11.0,0.6
145,5.0,13.0,20.0,0.0,11.0,0.6
146,5.0,14.0,11.0,0.0,11.0,0.6
147,6.0,13.0,17.0,1.0,11.0,0.5
148,5.0,15.0,13.0,4.0,8.0,0.5
149,4.0,16.0,14.0,2.0,7.0,0.5
150,4.0,10.0,10.0,3.0,13.0,0.5
151,5.0,10.0,5.0,2.0,16.0,0.5
152,7.0,8.0,30.0,0.0,21.0,0.5
153,7.0,6.0,31.0,3.0,29.0,0.4
154,6.0,9.0,34.0,2.0,50.0,0.5
155,6.0,7.0,35.0,3.0,86.0,0.4
156,5.0,5.0,19.0,7.0,105.0,0.4
157,4.0,5.0,33.0,9.0,131.0,0.4
158,4.0,6.0,30.0,11.0,145.0,0.4
159,4.0,9.0,36.0,10.0,155.0,0.4
160,5.0,16.0,50.0,10.0,126.0,0.5
161,4.0,20.0,38.0,12.0,104.0,0.5
162,4.0,19.0,31.0,21.0,65.0,0.5
163,4.0,40.0,34.0,7.0,41.0,0.5
164,5.0,67.0,20.0,11.0,16.0,0.6
165,5.0,66.0,30.0,18.0,17.0,0.7
166,5.0,68.0,45.0,20.0,10.0,0.7
167,5.0,71.0,59.0,20.0,5.0,0.8
168,5.0,61.0,51.0,26.0,3.0,0.8
169,4.0,52.0,52.0,20.0,3.0,0.7
170,4.0,49.0,47.0,26.0,1.0,0.7
171,4.0,43.0,47.0,24.0,0.0,0.7
172,4.0,39.0,32.0,17.0,0.0,0.6
173,4.0,35.0,31.0,14.0,0.0,0.6
174,5.0,31.0,33.0,9.0,2.0,0.6
175,5.0,26.0,17.0,11.0,14.0,0.6
176,6.0,25.0,28.0,8.0,23.0,0.6
177,6.0,19.0,29.0,6.0,38.0,0.5
178,5.0,17.0,27.0,3.0,67.0,0.5
179,5.0,15.0,39.0,5.0,116.0,0.5
180,5.0,13.0,24.0,13.0,155.0,0.5
181,5.0,13.0,30.0,13.0,179.0,0.5
182,5.0,14.0,44.0,17.0,176.0,0.5
183,4.0,15.0,53.0,15.0,129.0,0.5
184,4.0,16.0,29.0,10.0,98.0,0.5
185,4.0,24.0,26.0,9.0,73.0,0.6
186,4.0,18.0,19.0,10.0,61.0,0.6
187,4.0,25.0,13.0,8.0,36.0,0.6
188,5.0,27.0,20.0,6.0,30.0,0.6
189,5.0,37.0,22.0,7.0,24.0,0.6
190,5.0,47.0,28.0,11.0,13.0,0.6
191,5.0,46.0,39.0,10.0,18.0,0.6
192,5.0,45.0,25.0,12.0,18.0,0.6
193,5.0,50.0,30.0,15.0,7.0,0.7
194,6.0,44.0,36.0,16.0,8.0,0.6
195,6.0,40.0,34.0,12.0,8.0,0.7
196,11.0,38.0,32.0,12.0,7.0,0.6
197,10.0,33.0,26.0,10.0,10.0,0.6
198,7.0,36.0,25.0,9.0,9.0,0.6
199,9.0,24.0,28.0,13.0,23.0,0.6
200,10.0,21.0,46.0,12.0,30.0,0.6
201,8.0,30.0,48.0,11.0,21.0,0.6
202,6.0,26.0,36.0,22.0,28.0,0.6
203,5.0,14.0,14.0,14.0,46.0,0.5
204,5.0,17.0,4.0,6.0,56.0,0.5
205,4.0,8.0,15.0,1.0,45.0,0.5
206,4.0,11.0,15.0,2.0,44.0,0.5
207,4.0,17.0,19.0,1.0,45.0,0.5
208,4.0,18.0,26.0,5.0,42.0,0.5
209,4.0,16.0,11.0,6.0,30.0,0.5
210,4.0,16.0,9.0,3.0,18.0,0.5
211,4.0,22.0,13.0,0.0,9.0,0.5
212,4.0,24.0,18.0,0.0,4.0,0.6
213,4.0,25.0,10.0,3.0,3.0,0.6
214,3.0,23.0,10.0,4.0,4.0,0.6
215,4.0,22.0,9.0,1.0,6.0,0.5
216,4.0,21.0,19.0,2.0,5.0,0.5
217,4.0,21.0,17.0,2.0,3.0,0.5
218,4.0,19.0,6.0,0.0,5.0,0.5
219,4.0,19.0,12.0,3.0,5.0,0.5
220,4.0,16.0,10.0,3.0,7.0,0.5
221,4.0,17.0,16.0,1.0,5.0,0.5
222,4.0,17.0,14.0,1.0,5.0,0.5
223,4.0,17.0,10.0,3.0,6.0,0.5
224,4.0,16.0,14.0,4.0,13.0,0.5
225,4.0,13.0,17.0,2.0,20.0,0.5
226,4.0,12.0,16.0,2.0,25.0,0.5
227,4.0,18.0,10.0,3.0,30.0,0.6
228,4.0,15.0,32.0,3.0,57.0,0.6
229,3.0,7.0,25.0,6.0,45.0,0.5
230,3.0,9.0,6.0,6.0,34.0,0.5
231,3.0,17.0,9.0,3.0,24.0,0.5
232,3.0,21.0,13.0,5.0,26.0,0.5
233,4.0,18.0,14.0,4.0,28.0,0.5
234,3.0,27.0,4.0,2.0,17.0,0.6
235,4.0,37.0,20.0,3.0,6.0,0.6
236,4.0,33.0,16.0,3.0,8.0,0.6
237,4.0,32.0,12.0,5.0,7.0,0.6
238,4.0,34.0,17.0,6.0,6.0,0.6
239,4.0,26.0,19.0,6.0,9.0,0.6
240,4.0,26.0,14.0,4.0,7.0,0.6
241,4.0,23.0,12.0,4.0,8.0,0.6
242,4.0,20.0,8.0,5.0,9.0,0.6
243,4.0,14.0,8.0,6.0,14.0,0.5
244,4.0,16.0,12.0,1.0,12.0,0.5
245,3.0,18.0,6.0,0.0,13.0,0.5
246,3.0,24.0,8.0,0.0,12.0,0.5
247,3.0,30.0,9.0,3.0,11.0,0.5
248,3.0,29.0,10.0,2.0,13.0,0.6
249,6.0,24.0,11.0,1.0,30.0,0.8
250,8.0,19.0,12.0,0.0,46.0,1.0
251,2.0,14.0,13.0,0.0,59.0,0.8
252,2.0,13.0,14.0,0.0,81.0,0.8
253,2.0,16.0,15.0,0.0,55.0,0.8
254,2.0,11.0,13.0,0.0,51.0,0.7
255,2.0,19.0,10.0,0.0,40.0,0.8
256,3.0,37.0,8.0,2.0,14.0,0.8
257,2.0,31.0,6.0,5.0,12.0,0.8
258,3.0,37.0,2.0,6.0,5.0,0.8
259,3.0,37.0,15.0,8.0,4.0,0.8
260,3.0,33.0,21.0,6.0,6.0,0.8
261,3.0,30.0,21.0,8.0,6.0,0.8
262,3.0,25.0,15.0,6.0,12.0,0.7
263,3.0,24.0,13.0,2.0,9.0,0.7
264,3.0,21.0,15.0,1.0,12.0,0.7
265,2.0,16.0,5.0,3.0,20.0,0.7
266,2.0,12.0,0.0,4.0,29.0,0.6
267,2.0,16.0,1.0,2.0,23.0,0.7
268,3.0,26.0,7.0,0.0,11.0,0.8
269,3.0,32.0,18.0,5.0,7.0,0.9
270,3.0,25.0,12.0,6.0,20.0,0.8
271,4.0,24.0,21.0,4.0,27.0,0.8
272,3.0,17.0,41.0,2.0,36.0,0.7
273,3.0,25.0,28.0,2.0,24.0,0.8
274,2.0,25.0,16.0,2.0,39.0,0.7
275,2.0,20.0,15.0,2.0,41.0,0.7
276,2.0,22.0,8.0,0.0,47.0,0.7
277,3.0,29.0,9.0,1.0,47.0,0.8
278,2.0,30.0,28.0,6.0,44.0,0.8
279,3.0,36.0,25.0,9.0,30.0,0.8
280,3.0,32.0,16.0,11.0,21.0,0.8
281,3.0,29.0,21.0,14.0,19.0,0.8
282,2.0,28.0,14.0,9.0,19.0,0.7
283,3.0,27.0,9.0,5.0,17.0,0.7
284,3.0,37.0,13.0,3.0,6.0,0.7
285,3.0,40.0,27.0,4.0,3.0,0.7
286,3.0,41.0,16.0,3.0,0.0,0.8
287,3.0,38.0,19.0,3.0,1.0,0.8
288,3.0,26.0,11.0,9.0,11.0,0.8
289,3.0,20.0,10.0,7.0,15.0,0.7
290,4.0,30.0,18.0,6.0,3.0,0.8
291,4.0,29.0,25.0,7.0,3.0,0.8
292,4.0,22.0,21.0,9.0,16.0,0.8
293,5.0,19.0,11.0,8.0,24.0,0.8
294,4.0,22.0,20.0,6.0,46.0,0.8
295,5.0,30.0,46.0,10.0,69.0,0.8
296,8.0,21.0,38.0,11.0,92.0,0.8
297,7.0,11.0,35.0,18.0,115.0,0.7
298,7.0,8.0,30.0,6.0,113.0,0.6
299,6.0,12.0,49.0,9.0,83.0,0.6
300,5.0,9.0,10.0,7.0,78.0,0.6
301,4.0,10.0,0.0,3.0,61.0,0.6
302,4.0,11.0,21.0,1.0,54.0,0.6
303,4.0,12.0,11.0,4.0,39.0,0.6
304,3.0,13.0,4.0,3.0,29.0,0.6
305,3.0,10.0,2.0,1.0,29.0,0.6
306,3.0,10.0,0.0,0.0,27.0,0.6
307,3.0,9.0,4.0,0.0,27.0,0.6
308,3.0,12.0,2.0,1.0,21.0,0.6
309,3.0,15.0,5.0,2.0,15.0,0.6
310,3.0,14.0,15.0,1.0,14.0,0.6
311,3.0,12.0,16.0,1.0,16.0,0.6
312,3.0,13.0,13.0,1.0,16.0,0.6
313,3.0,16.0,18.0,3.0,13.0,0.6
314,3.0,23.0,11.0,4.0,6.0,0.6
315,4.0,28.0,11.0,3.0,2.0,0.6
316,4.0,26.0,13.0,1.0,4.0,0.6
317,4.0,19.0,11.0,2.0,12.0,0.6
318,3.0,18.0,7.0,4.0,14.0,0.6
319,3.0,19.0,14.0,2.0,15.0,0.7
320,3.0,20.0,14.0,4.0,14.0,0.7
321,3.0,18.0,12.0,5.0,21.0,0.7
322,3.0,19.0,22.0,4.0,23.0,0.7
323,3.0,26.0,19.0,7.0,26.0,0.7
324,3.0,14.0,20.0,5.0,25.0,0.6
325,3.0,21.0,2.0,3.0,15.0,0.6
326,3.0,29.0,7.0,1.0,4.0,0.8
327,2.0,30.0,15.0,3.0,1.0,0.7
328,3.0,31.0,17.0,4.0,0.0,0.7
329,3.0,30.0,8.0,3.0,0.0,0.7
330,3.0,30.0,12.0,2.0,0.0,0.7
331,3.0,29.0,21.0,4.0,0.0,0.7
332,4.0,31.0,26.0,6.0,0.0,0.8
333,4.0,28.0,16.0,15.0,0.0,0.7
334,3.0,24.0,5.0,10.0,0.0,0.6
