,place,1,2,3,4,5,6,7,8,9,10,11,12
11036,A,2020-7-23 0,4,12,3,3,23,0.4,29.7,74,1007.2,1.3,96.6
11037,A,2020-7-23 1,3,11,3,1,24,0.4,29.3,76,1007,1.3,78.7
11038,A,2020-7-23 2,4,13,14,2,20,0.4,29.1,79,1007.1,0.9,2.5
11039,A,2020-7-23 3,4,12,12,1,20,0.4,29,80,1007.1,0.9,81.9
11040,A,2020-7-23 4,4,13,7,0,18,0.4,28.9,80,1007,0.8,122.9
11041,A,2020-7-23 5,4,20,17,0,11,0.5,28.4,83,1007.1,0.8,259.5
11042,A,2020-7-23 6,5,19,6,5,11,0.5,28.8,82,1007.6,0.5,83.5
11043,A,2020-7-23 7,5,9,7,4,24,0.5,30.1,74,1007.8,1.5,117.8
11044,A,2020-7-23 8,6,9,25,3,30,0.5,30.8,69,1008,1.2,119.7
11045,A,2020-7-23 9,6,15,28,1,33,0.5,32.2,64,1008.2,1.2,308.5
11046,A,2020-7-23 10,6,17,52,5,58,0.5,32.4,64,1008.1,1,232.4
11047,A,2020-7-23 11,7,16,28,10,115,0.5,33.9,57,1007.7,1.2,256.3
11048,A,2020-7-23 12,6,10,38,12,144,0.5,34.6,52,1007,1.4,251.4
11049,A,2020-7-23 13,6,8,32,15,140,0.4,35.2,48,1006.3,1.5,214.2
11050,A,2020-7-23 14,6,8,21,9,147,0.4,35.4,48,1005.7,1.7,106.5
11051,A,2020-7-23 15,5,14,52,8,149,0.5,34.5,56,1005.4,2.4,92.3
11052,A,2020-7-23 16,4,14,48,19,126,0.5,34.2,59,1005,2.1,106.6
11053,A,2020-7-23 17,4,13,33,11,116,0.5,34.1,59,1004.8,1.7,111
11054,A,2020-7-23 18,4,14,34,11,88,0.5,33.7,60,1005,1.6,110.7
11055,A,2020-7-23 19,5,12,36,8,76,0.5,33,61,1005.3,2.3,256.9
11056,A,2020-7-23 20,5,12,27,8,51,0.5,32.3,63,1005.9,1.8,266.8
11057,A,2020-7-23 21,5,15,18,6,31,0.6,31.6,67,1006.6,1.6,278.1
11058,A,2020-7-23 22,6,15,14,4,20,0.6,31.1,69,1007.3,1.8,259.9
11059,A,2020-7-23 23,6,13,12,4,18,0.6,30.7,69,1007.4,2.5,227
11060,A,2020-7-24 0,6,9,6,2,18,0.6,30.4,69,1007.3,1.8,235
11061,A,2020-7-24 1,6,11,14,0,16,0.5,30.2,71,1007,1.2,242.5
11062,A,2020-7-24 2,8,19,10,1,9,0.5,29.7,75,1006.6,0.9,250.7
11063,A,2020-7-24 3,5,15,21,1,10,0.5,29.4,78,1006.3,0.8,270.8
11064,A,2020-7-24 4,5,21,17,1,4,0.5,29.1,80,1006.6,0.8,271.3
11065,A,2020-7-24 5,5,18,21,3,6,0.5,28.9,81,1007,0.6,275.5
