,1,2,3,4,5,6,7,8,9,10,11,12
11133,2020-7-23 0,6,19,9,-1,21,0.4,29.7,65,1006.8,2.5,156.5
11134,2020-7-23 1,6,16,16,1,24,0.3,29.5,66,1006.6,2.5,166.3
11135,2020-7-23 2,6,17,17,3,21,0.3,29.3,67,1006.7,1.7,161.7
11136,2020-7-23 3,7,22,12,6,16,0.3,29.1,68,1006.7,1.2,155.9
11137,2020-7-23 4,8,23,18,10,15,0.3,28.9,70,1006.7,1.6,158.6
11138,2020-7-23 5,7,15,15,6,22,0.3,28.0,72,1006.8,0.9,167.0
11139,2020-7-23 6,6,22,12,4,15,0.4,28.4,71,1007.2,1.2,156.5
11140,2020-7-23 7,9,15,11,3,25,0.4,29.3,69,1007.4,1.5,158.3
11141,2020-7-23 8,12,17,18,6,29,0.4,30.3,63,1007.7,1.5,175.1
11142,2020-7-23 9,12,16,17,5,41,0.4,31.3,57,1007.8,1.5,182.6
11143,2020-7-23 10,11,16,21,6,69,0.4,32.8,51,1007.7,1.5,186.2
11144,2020-7-23 11,9,10,24,14,99,0.3,33.4,45,1007.4,1.9,191.6
11145,2020-7-23 12,8,10,24,8,116,0.3,34.2,41,1006.7,1.9,192.2
11146,2020-7-23 13,7,8,21,12,126,0.3,34.9,39,1006.0,1.9,176.6
11147,2020-7-23 14,7,9,24,8,139,0.3,35.5,37,1005.4,2.1,190.2
11148,2020-7-23 15,7,9,27,7,126,0.3,36.1,35,1005.0,2.0,194.1
11149,2020-7-23 16,8,14,19,9,133,0.3,36.0,39,1004.5,1.7,151.8
11150,2020-7-23 17,6,25,32,9,128,0.4,34.4,49,1004.4,2.3,99.2
11151,2020-7-23 18,6,15,46,16,112,0.4,33.9,50,1004.5,3.1,163.8
11152,2020-7-23 19,8,19,33,13,81,0.5,33.2,51,1004.9,2.7,160.2
11153,2020-7-23 20,9,22,36,10,45,0.5,32.3,55,1005.5,2.4,171.0
11154,2020-7-23 21,9,21,29,7,27,0.6,31.6,57,1006.3,2.3,171.3
11155,2020-7-23 22,10,19,25,7,17,0.6,31.0,60,1006.9,2.4,161.7
11156,2020-7-23 23,12,17,21,9,15,0.6,30.5,61,1007.1,2.4,168.4
11157,2020-7-24 0,12,17,19,6,16,0.4,30.1,63,1007.0,1.9,169.0
11158,2020-7-24 1,9,15,10,4,16,0.3,30.0,66,1006.7,1.6,188.5
11159,2020-7-24 2,7,11,16,3,22,0.3,29.8,67,1006.2,1.4,201.0
11160,2020-7-24 3,7,8,11,0,24,0.3,29.6,66,1006.0,1.3,194.1
11161,2020-7-24 4,7,8,8,0,23,0.3,29.3,66,1006.2,1.7,177.5
11162,2020-7-24 5,6,9,3,-1,23,0.3,29.2,67,1006.7,1.1,189.0
11163,2020-7-24 6,9,14,9,0,16,0.3,29.2,68,1007.2,1.6,176.1
11164,2020-7-24 7,7,10,14,2,25,0.4,30.1,63,1007.9,1.4,189.5
11165,2020-7-24 8,7,9,14,3,33,0.4,30.8,58,1008.0,2.0,185.3
11166,2020-7-24 9,7,9,11,5,50,0.3,31.6,55,1008.1,2.0,190.3
11167,2020-7-24 10,7,7,10,4,75,0.3,32.5,49,1007.7,2.0,192.3
11168,2020-7-24 11,6,9,19,4,99,0.3,33.4,45,1007.1,1.8,171.7
11169,2020-7-24 12,6,7,28,7,99,0.3,34.5,40,1006.4,1.8,191.0
11170,2020-7-24 13,6,6,18,4,112,0.3,35.2,38,1005.6,1.5,209.5
11171,2020-7-24 14,6,7,16,5,120,0.3,35.7,37,1004.9,1.8,172.6
11172,2020-7-24 15,6,7,15,4,132,0.3,36.3,36,1004.1,1.6,196.5
11173,2020-7-24 16,6,7,22,11,137,0.3,36.6,35,1003.5,1.5,203.4
11174,2020-7-24 17,6,9,22,9,138,0.3,36.7,36,1003.1,1.2,206.3
11175,2020-7-24 18,6,18,17,11,128,0.4,35.8,40,1002.9,1.5,134.0
11176,2020-7-24 19,6,29,31,12,86,0.5,33.9,54,1003.3,1.8,150.2
11177,2020-7-24 20,8,26,48,16,55,0.5,33.4,54,1004.0,2.7,163.2
11178,2020-7-24 21,13,25,40,6,27,0.4,32.5,57,1004.7,2.5,162.6
11179,2020-7-24 22,8,17,26,11,26,0.4,31.9,60,1005.3,2.1,170.8
11180,2020-7-24 23,7,21,23,6,17,0.4,31.4,64,1005.6,1.9,173.6
11181,2020-7-25 0,9,24,14,3,12,0.4,31.1,65,1005.5,2.0,179.9
11182,2020-7-25 1,10,23,18,7,11,0.4,30.9,62,1005.3,1.3,192.8
11183,2020-7-25 2,8,14,19,5,20,0.3,30.7,60,1005.2,1.4,196.0
11184,2020-7-25 3,7,8,17,4,27,0.3,30.3,61,1005.1,1.5,188.9
11185,2020-7-25 4,6,8,5,2,25,0.3,29.9,63,1005.1,1.8,204.7
11186,2020-7-25 5,7,11,11,2,20,0.3,29.5,66,1005.1,1.6,199.8
11187,2020-7-25 6,7,14,14,3,16,0.4,29.4,68,1005.4,1.7,185.5
11188,2020-7-25 7,8,12,13,4,20,0.4,30.0,66,1005.8,1.5,204.2
11189,2020-7-25 8,9,12,22,6,28,0.4,30.9,61,1006.0,1.7,203.6
11190,2020-7-25 9,10,14,26,4,50,0.4,31.9,55,1006.0,2.0,194.6
11191,2020-7-25 10,10,15,24,10,104,0.4,33.3,49,1005.7,1.7,233.8
11192,2020-7-25 11,10,14,38,12,151,0.4,34.1,47,1005.2,2.1,219.6
11193,2020-7-25 12,10,11,41,19,148,0.4,34.8,45,1004.5,2.1,175.4
11194,2020-7-25 13,8,10,36,17,165,0.4,35.7,42,1003.7,2.0,171.8
11195,2020-7-25 14,8,8,37,17,170,0.4,36.4,39,1002.9,1.7,178.7
11196,2020-7-25 15,7,9,34,16,171,0.4,36.5,39,1002.3,1.9,179.8
11197,2020-7-25 16,7,10,42,25,173,0.4,36.5,39,1001.9,1.9,166.6
11198,2020-7-25 17,7,14,41,17,158,0.4,36.4,40,1001.9,1.7,151.2
11199,2020-7-25 18,7,28,43,21,108,0.5,35.0,51,1002.1,1.7,120.4
11200,2020-7-25 19,9,26,54,15,69,0.5,34.0,53,1003.0,3.0,158.5
11201,2020-7-25 20,9,21,42,10,42,0.4,33.1,55,1003.7,2.6,161.7
11202,2020-7-25 21,8,21,38,12,30,0.4,32.4,57,1004.2,2.3,155.1
11203,2020-7-25 22,8,18,30,6,27,0.4,31.9,59,1004.8,2.3,154.1
11204,2020-7-25 23,8,17,29,11,26,0.4,31.5,60,1005.0,2.3,159.0
11205,2020-7-26 0,9,21,15,6,19,0.4,31.1,63,1004.8,2.0,171.5
11206,2020-7-26 1,10,22,21,7,14,0.4,30.8,64,1004.5,1.9,183.2
11207,2020-7-26 2,9,10,23,6,32,0.3,30.6,61,1004.0,2.2,200.5
11208,2020-7-26 3,7,4,14,1,38,0.3,30.1,65,1003.6,2.0,197.9
11209,2020-7-26 4,7,4,12,-1,37,0.3,29.9,67,1003.6,1.7,197.8
11210,2020-7-26 5,6,6,8,6,33,0.3,29.7,69,1004.0,1.5,205.7
11211,2020-7-26 6,9,8,12,4,28,0.3,29.6,69,1004.4,1.7,193.0
11212,2020-7-26 7,7,8,11,4,29,0.4,30.1,66,1004.8,2.4,193.6
11213,2020-7-26 8,7,7,18,7,39,0.4,31.0,63,1005.1,2.7,186.2
11214,2020-7-26 9,7,8,22,8,58,0.4,31.7,59,1005.4,2.5,189.5
11215,2020-7-26 10,7,8,25,6,83,0.4,32.9,55,1005.4,1.8,192.3
11216,2020-7-26 11,7,7,28,8,106,0.4,33.7,52,1005.0,2.3,185.4
11217,2020-7-26 12,6,6,32,6,105,0.4,35.1,45,1004.3,2.1,200.9
11218,2020-7-26 13,6,7,30,7,120,0.4,35.8,43,1003.3,2.1,193.2
11219,2020-7-26 14,7,7,38,9,130,0.3,36.1,40,1002.1,2.0,157.8
11220,2020-7-26 15,7,7,33,14,131,0.3,36.3,39,1001.7,1.9,163.6
11221,2020-7-26 16,7,17,31,14,111,0.4,35.5,47,1001.6,1.6,138.6
11222,2020-7-26 17,7,18,47,10,89,0.4,34.7,49,1001.3,2.2,144.2
11223,2020-7-26 18,7,14,43,12,60,0.4,33.9,50,1001.5,2.7,164.3
11224,2020-7-26 19,9,18,31,8,44,0.4,33.1,53,1002.0,2.5,163.4
11225,2020-7-26 20,8,24,34,8,26,0.4,32.7,52,1002.4,2.1,167.2
11226,2020-7-26 21,9,22,32,9,19,0.4,32.1,53,1003.2,2.2,162.6
11227,2020-7-26 22,10,20,26,5,15,0.3,31.5,54,1004.0,2.2,158.3
11228,2020-7-26 23,10,19,20,2,13,0.3,31.1,56,1004.0,2.0,171.2
11229,2020-7-27 0,10,22,19,3,11,0.3,30.6,59,1004.0,2.6,154.1
11230,2020-7-27 1,10,15,19,5,18,0.3,30.1,62,1003.8,1.9,175.7
11231,2020-7-27 2,8,12,13,5,19,0.3,29.7,64,1003.5,1.8,160.7
11232,2020-7-27 3,8,14,15,3,17,0.3,29.6,66,1003.2,1.8,179.8
11233,2020-7-27 4,8,14,18,3,17,0.3,29.3,67,1003.2,1.7,159.5
11234,2020-7-27 5,8,15,15,3,17,0.3,29.3,68,1003.2,1.5,172.3
11235,2020-7-27 6,8,15,12,0,18,0.3,29.4,67,1003.6,1.7,160.2
11236,2020-7-27 7,8,13,16,-1,22,0.4,30.1,64,1004.1,1.8,172.3
11237,2020-7-27 8,8,12,22,3,30,0.4,30.6,62,1004.6,2.2,194.1
11238,2020-7-27 9,7,8,20,7,43,0.4,31.5,58,1004.5,1.8,213.6
11239,2020-7-27 10,7,8,14,4,59,0.3,32.4,53,1004.3,2.3,194.4
11240,2020-7-27 11,6,6,21,1,78,0.3,33.5,47,1003.9,2.7,195.3
11241,2020-7-27 12,6,6,16,-2,82,0.3,34.5,44,1003.8,2.4,201.7
11242,2020-7-27 13,6,5,23,5,77,0.3,35.3,40,1003.1,2.3,189.6
11243,2020-7-27 14,6,5,17,4,75,0.3,36.1,36,1002.4,2.4,195.0
11244,2020-7-27 15,6,8,14,1,88,0.3,35.9,39,1001.8,2.2,174.9
