,1,9,10,11,12
0,2020-7-23 0,65,1006.8,2.5,156.5
1,2020-7-23 1,66,1006.6,2.5,166.3
2,2020-7-23 2,67,1006.7,1.7,161.7
3,2020-7-23 3,68,1006.7,1.2,155.9
4,2020-7-23 4,70,1006.7,1.6,158.6
5,2020-7-23 5,72,1006.8,0.9,167.0
6,2020-7-23 6,71,1007.2,1.2,156.5
7,2020-7-23 7,69,1007.4,1.5,158.3
8,2020-7-23 8,63,1007.7,1.5,175.1
9,2020-7-23 9,57,1007.8,1.5,182.6
10,2020-7-23 10,51,1007.7,1.5,186.2
11,2020-7-23 11,45,1007.4,1.9,191.6
12,2020-7-23 12,41,1006.7,1.9,192.2
13,2020-7-23 13,39,1006.0,1.9,176.6
14,2020-7-23 14,37,1005.4,2.1,190.2
15,2020-7-23 15,35,1005.0,2.0,194.1
16,2020-7-23 16,39,1004.5,1.7,151.8
17,2020-7-23 17,49,1004.4,2.3,99.2
18,2020-7-23 18,50,1004.5,3.1,163.8
19,2020-7-23 19,51,1004.9,2.7,160.2
20,2020-7-23 20,55,1005.5,2.4,171.0
21,2020-7-23 21,57,1006.3,2.3,171.3
22,2020-7-23 22,60,1006.9,2.4,161.7
23,2020-7-23 23,61,1007.1,2.4,168.4
24,2020-7-24 0,63,1007.0,1.9,169.0
25,2020-7-24 1,66,1006.7,1.6,188.5
26,2020-7-24 2,67,1006.2,1.4,201.0
27,2020-7-24 3,66,1006.0,1.3,194.1
28,2020-7-24 4,66,1006.2,1.7,177.5
29,2020-7-24 5,67,1006.7,1.1,189.0
30,2020-7-24 6,68,1007.2,1.6,176.1
31,2020-7-24 7,63,1007.9,1.4,189.5
32,2020-7-24 8,58,1008.0,2.0,185.3
33,2020-7-24 9,55,1008.1,2.0,190.3
34,2020-7-24 10,49,1007.7,2.0,192.3
35,2020-7-24 11,45,1007.1,1.8,171.7
36,2020-7-24 12,40,1006.4,1.8,191.0
37,2020-7-24 13,38,1005.6,1.5,209.5
38,2020-7-24 14,37,1004.9,1.8,172.6
39,2020-7-24 15,36,1004.1,1.6,196.5
40,2020-7-24 16,35,1003.5,1.5,203.4
41,2020-7-24 17,36,1003.1,1.2,206.3
42,2020-7-24 18,40,1002.9,1.5,134.0
43,2020-7-24 19,54,1003.3,1.8,150.2
44,2020-7-24 20,54,1004.0,2.7,163.2
45,2020-7-24 21,57,1004.7,2.5,162.6
46,2020-7-24 22,60,1005.3,2.1,170.8
47,2020-7-24 23,64,1005.6,1.9,173.6
48,2020-7-25 0,65,1005.5,2.0,179.9
49,2020-7-25 1,62,1005.3,1.3,192.8
50,2020-7-25 2,60,1005.2,1.4,196.0
51,2020-7-25 3,61,1005.1,1.5,188.9
52,2020-7-25 4,63,1005.1,1.8,204.7
53,2020-7-25 5,66,1005.1,1.6,199.8
54,2020-7-25 6,68,1005.4,1.7,185.5
55,2020-7-25 7,66,1005.8,1.5,204.2
56,2020-7-25 8,61,1006.0,1.7,203.6
57,2020-7-25 9,55,1006.0,2.0,194.6
58,2020-7-25 10,49,1005.7,1.7,233.8
59,2020-7-25 11,47,1005.2,2.1,219.6
60,2020-7-25 12,45,1004.5,2.1,175.4
61,2020-7-25 13,42,1003.7,2.0,171.8
62,2020-7-25 14,39,1002.9,1.7,178.7
63,2020-7-25 15,39,1002.3,1.9,179.8
64,2020-7-25 16,39,1001.9,1.9,166.6
65,2020-7-25 17,40,1001.9,1.7,151.2
66,2020-7-25 18,51,1002.1,1.7,120.4
67,2020-7-25 19,53,1003.0,3.0,158.5
68,2020-7-25 20,55,1003.7,2.6,161.7
69,2020-7-25 21,57,1004.2,2.3,155.1
70,2020-7-25 22,59,1004.8,2.3,154.1
71,2020-7-25 23,60,1005.0,2.3,159.0
72,2020-7-26 0,63,1004.8,2.0,171.5
73,2020-7-26 1,64,1004.5,1.9,183.2
74,2020-7-26 2,61,1004.0,2.2,200.5
75,2020-7-26 3,65,1003.6,2.0,197.9
76,2020-7-26 4,67,1003.6,1.7,197.8
77,2020-7-26 5,69,1004.0,1.5,205.7
78,2020-7-26 6,69,1004.4,1.7,193.0
79,2020-7-26 7,66,1004.8,2.4,193.6
80,2020-7-26 8,63,1005.1,2.7,186.2
81,2020-7-26 9,59,1005.4,2.5,189.5
82,2020-7-26 10,55,1005.4,1.8,192.3
83,2020-7-26 11,52,1005.0,2.3,185.4
