,1,2,3,4,5,6,7
0,2020-7-23 0,15,15,24,8,33,0.5
1,2020-7-23 1,9,16,18,5,27,0.5
2,2020-7-23 2,9,16,20,7,27,0.5
3,2020-7-23 3,9,13,13,5,29,0.5
4,2020-7-23 4,10,11,16,3,29,0.4
5,2020-7-23 5,8,10,12,3,27,0.4
6,2020-7-23 6,10,18,8,1,19,0.5
7,2020-7-23 7,12,18,8,2,23,0.5
8,2020-7-23 8,12,14,13,10,29,0.6
9,2020-7-23 9,10,13,19,7,43,0.5
10,2020-7-23 10,9,13,24,10,63,0.5
11,2020-7-23 11,9,11,19,6,103,0.5
12,2020-7-23 12,9,10,25,10,129,0.5
13,2020-7-23 13,8,8,30,11,129,0.5
14,2020-7-23 14,9,12,26,11,134,0.5
15,2020-7-23 15,9,14,27,8,117,0.4
16,2020-7-23 16,9,12,19,11,129,0.4
17,2020-7-23 17,11,23,20,13,123,0.5
18,2020-7-23 18,11,18,37,10,101,0.6
19,2020-7-23 19,12,17,35,12,69,0.6
20,2020-7-23 20,13,16,31,7,41,0.6
21,2020-7-23 21,14,17,25,11,26,0.6
22,2020-7-23 22,12,16,15,6,22,0.5
23,2020-7-23 23,11,11,17,6,24,0.4
24,2020-7-24 0,8,10,16,5,24,0.4
25,2020-7-24 1,7,12,14,3,23,0.4
26,2020-7-24 2,8,8,12,2,25,0.4
27,2020-7-24 3,8,7,9,1,26,0.4
28,2020-7-24 4,8,8,7,4,26,0.4
29,2020-7-24 5,10,17,14,5,17,0.4
30,2020-7-24 6,9,17,16,5,17,0.5
31,2020-7-24 7,9,13,15,6,23,0.5
32,2020-7-24 8,9,7,15,2,32,0.5
33,2020-7-24 9,8,8,14,2,49,0.5
34,2020-7-24 10,9,7,16,2,69,0.4
35,2020-7-24 11,8,7,16,2,79,0.4
36,2020-7-24 12,9,7,21,2,96,0.4
37,2020-7-24 13,8,5,17,2,101,0.4
38,2020-7-24 14,8,6,17,6,104,0.4
39,2020-7-24 15,8,8,18,4,98,0.4
40,2020-7-24 16,8,6,17,2,109,0.4
41,2020-7-24 17,8,9,26,3,122,0.4
42,2020-7-24 18,9,13,29,6,141,0.5
43,2020-7-24 19,10,24,38,12,104,0.6
44,2020-7-24 20,12,19,45,13,50,0.5
45,2020-7-24 21,12,19,29,10,29,0.5
46,2020-7-24 22,12,20,22,8,22,0.5
47,2020-7-24 23,9,15,22,3,23,0.5
48,2020-7-25 0,9,15,21,1,20,0.5
