,1,2,3,4,5,6,7,8
0,2020-7-23 0,6,19,9,-1,21,0.4,29.7
1,2020-7-23 1,6,16,16,1,24,0.3,29.5
2,2020-7-23 2,6,17,17,3,21,0.3,29.3
3,2020-7-23 3,7,22,12,6,16,0.3,29.1
4,2020-7-23 4,8,23,18,10,15,0.3,28.9
5,2020-7-23 5,7,15,15,6,22,0.3,28.0
6,2020-7-23 6,6,22,12,4,15,0.4,28.4
7,2020-7-23 7,9,15,11,3,25,0.4,29.3
8,2020-7-23 8,12,17,18,6,29,0.4,30.3
9,2020-7-23 9,12,16,17,5,41,0.4,31.3
10,2020-7-23 10,11,16,21,6,69,0.4,32.8
11,2020-7-23 11,9,10,24,14,99,0.3,33.4
12,2020-7-23 12,8,10,24,8,116,0.3,34.2
13,2020-7-23 13,7,8,21,12,126,0.3,34.9
14,2020-7-23 14,7,9,24,8,139,0.3,35.5
15,2020-7-23 15,7,9,27,7,126,0.3,36.1
16,2020-7-23 16,8,14,19,9,133,0.3,36.0
17,2020-7-23 17,6,25,32,9,128,0.4,34.4
18,2020-7-23 18,6,15,46,16,112,0.4,33.9
19,2020-7-23 19,8,19,33,13,81,0.5,33.2
20,2020-7-23 20,9,22,36,10,45,0.5,32.3
21,2020-7-23 21,9,21,29,7,27,0.6,31.6
22,2020-7-23 22,10,19,25,7,17,0.6,31.0
23,2020-7-23 23,12,17,21,9,15,0.6,30.5
24,2020-7-24 0,12,17,19,6,16,0.4,30.1
25,2020-7-24 1,9,15,10,4,16,0.3,30.0
26,2020-7-24 2,7,11,16,3,22,0.3,29.8
27,2020-7-24 3,7,8,11,0,24,0.3,29.6
28,2020-7-24 4,7,8,8,0,23,0.3,29.3
29,2020-7-24 5,6,9,3,-1,23,0.3,29.2
30,2020-7-24 6,9,14,9,0,16,0.3,29.2
31,2020-7-24 7,7,10,14,2,25,0.4,30.1
32,2020-7-24 8,7,9,14,3,33,0.4,30.8
33,2020-7-24 9,7,9,11,5,50,0.3,31.6
34,2020-7-24 10,7,7,10,4,75,0.3,32.5
35,2020-7-24 11,6,9,19,4,99,0.3,33.4
36,2020-7-24 12,6,7,28,7,99,0.3,34.5
37,2020-7-24 13,6,6,18,4,112,0.3,35.2
38,2020-7-24 14,6,7,16,5,120,0.3,35.7
39,2020-7-24 15,6,7,15,4,132,0.3,36.3
40,2020-7-24 16,6,7,22,11,137,0.3,36.6
41,2020-7-24 17,6,9,22,9,138,0.3,36.7
42,2020-7-24 18,6,18,17,11,128,0.4,35.8
43,2020-7-24 19,6,29,31,12,86,0.5,33.9
44,2020-7-24 20,8,26,48,16,55,0.5,33.4
45,2020-7-24 21,13,25,40,6,27,0.4,32.5
46,2020-7-24 22,8,17,26,11,26,0.4,31.9
47,2020-7-24 23,7,21,23,6,17,0.4,31.4
48,2020-7-25 0,9,24,14,3,12,0.4,31.1
49,2020-7-25 1,10,23,18,7,11,0.4,30.9
50,2020-7-25 2,8,14,19,5,20,0.3,30.7
51,2020-7-25 3,7,8,17,4,27,0.3,30.3
52,2020-7-25 4,6,8,5,2,25,0.3,29.9
53,2020-7-25 5,7,11,11,2,20,0.3,29.5
54,2020-7-25 6,7,14,14,3,16,0.4,29.4
55,2020-7-25 7,8,12,13,4,20,0.4,30.0
56,2020-7-25 8,9,12,22,6,28,0.4,30.9
57,2020-7-25 9,10,14,26,4,50,0.4,31.9
58,2020-7-25 10,10,15,24,10,104,0.4,33.3
59,2020-7-25 11,10,14,38,12,151,0.4,34.1
60,2020-7-25 12,10,11,41,19,148,0.4,34.8
61,2020-7-25 13,8,10,36,17,165,0.4,35.7
62,2020-7-25 14,8,8,37,17,170,0.4,36.4
63,2020-7-25 15,7,9,34,16,171,0.4,36.5
64,2020-7-25 16,7,10,42,25,173,0.4,36.5
65,2020-7-25 17,7,14,41,17,158,0.4,36.4
66,2020-7-25 18,7,28,43,21,108,0.5,35.0
67,2020-7-25 19,9,26,54,15,69,0.5,34.0
68,2020-7-25 20,9,21,42,10,42,0.4,33.1
69,2020-7-25 21,8,21,38,12,30,0.4,32.4
70,2020-7-25 22,8,18,30,6,27,0.4,31.9
71,2020-7-25 23,8,17,29,11,26,0.4,31.5
72,2020-7-26 0,9,21,15,6,19,0.4,31.1
73,2020-7-26 1,10,22,21,7,14,0.4,30.8
74,2020-7-26 2,9,10,23,6,32,0.3,30.6
75,2020-7-26 3,7,4,14,1,38,0.3,30.1
76,2020-7-26 4,7,4,12,-1,37,0.3,29.9
77,2020-7-26 5,6,6,8,6,33,0.3,29.7
78,2020-7-26 6,9,8,12,4,28,0.3,29.6
79,2020-7-26 7,7,8,11,4,29,0.4,30.1
80,2020-7-26 8,7,7,18,7,39,0.4,31.0
81,2020-7-26 9,7,8,22,8,58,0.4,31.7
82,2020-7-26 10,7,8,25,6,83,0.4,32.9
83,2020-7-26 11,7,7,28,8,106,0.4,33.7
84,2020-7-26 12,6,6,32,6,105,0.4,35.1
85,2020-7-26 13,6,7,30,7,120,0.4,35.8
86,2020-7-26 14,7,7,38,9,130,0.3,36.1
87,2020-7-26 15,7,7,33,14,131,0.3,36.3
88,2020-7-26 16,7,17,31,14,111,0.4,35.5
89,2020-7-26 17,7,18,47,10,89,0.4,34.7
90,2020-7-26 18,7,14,43,12,60,0.4,33.9
91,2020-7-26 19,9,18,31,8,44,0.4,33.1
92,2020-7-26 20,8,24,34,8,26,0.4,32.7
93,2020-7-26 21,9,22,32,9,19,0.4,32.1
94,2020-7-26 22,10,20,26,5,15,0.3,31.5
95,2020-7-26 23,10,19,20,2,13,0.3,31.1
96,2020-7-27 0,10,22,19,3,11,0.3,30.6
97,2020-7-27 1,10,15,19,5,18,0.3,30.1
98,2020-7-27 2,8,12,13,5,19,0.3,29.7
99,2020-7-27 3,8,14,15,3,17,0.3,29.6
100,2020-7-27 4,8,14,18,3,17,0.3,29.3
101,2020-7-27 5,8,15,15,3,17,0.3,29.3
102,2020-7-27 6,8,15,12,0,18,0.3,29.4
103,2020-7-27 7,8,13,16,-1,22,0.4,30.1
104,2020-7-27 8,8,12,22,3,30,0.4,30.6
105,2020-7-27 9,7,8,20,7,43,0.4,31.5
106,2020-7-27 10,7,8,14,4,59,0.3,32.4
107,2020-7-27 11,6,6,21,1,78,0.3,33.5
108,2020-7-27 12,6,6,16,-2,82,0.3,34.5
109,2020-7-27 13,6,5,23,5,77,0.3,35.3
110,2020-7-27 14,6,5,17,4,75,0.3,36.1
111,2020-7-27 15,6,8,14,1,88,0.3,35.9
112,2020-7-27 16,6,14,17,2,111,0.3,35.1
113,2020-7-27 17,7,18,33,2,93,0.4,34.8
114,2020-7-27 18,16,21,33,7,51,0.4,33.9
115,2020-7-27 19,15,14,33,6,35,0.3,32.8
116,2020-7-27 20,8,13,25,4,29,0.3,31.9
117,2020-7-27 21,8,14,12,6,24,0.3,31.4
118,2020-7-27 22,7,14,18,4,21,0.3,31.0
119,2020-7-27 23,8,16,13,0,20,0.3,30.5
120,2020-7-28 0,9,16,17,2,19,0.3,30.3
121,2020-7-28 1,9,14,16,3,19,0.3,29.9
122,2020-7-28 2,9,14,18,2,18,0.3,29.6
123,2020-7-28 3,10,15,16,2,17,0.3,29.5
124,2020-7-28 4,10,13,16,-1,17,0.3,29.5
125,2020-7-28 5,9,18,16,0,14,0.3,29.5
126,2020-7-28 6,11,12,16,2,18,0.3,29.6
127,2020-7-28 7,7,11,14,3,24,0.4,30.6
128,2020-7-28 8,7,9,16,3,30,0.4,30.8
129,2020-7-28 9,7,6,15,-1,45,0.3,31.8
130,2020-7-28 10,6,8,20,1,68,0.3,33.0
131,2020-7-28 11,8,7,29,7,89,0.3,34.0
132,2020-7-28 12,8,8,26,13,94,0.2,34.6
133,2020-7-28 13,6,10,26,19,92,0.4,34.4
134,2020-7-28 14,6,9,25,14,89,0.4,33.7
135,2020-7-28 15,6,30,25,9,88,0.4,32.6
136,2020-7-28 16,7,27,41,16,114,0.5,34.0
137,2020-7-28 17,7,22,45,18,117,0.4,34.6
138,2020-7-28 18,6,19,46,10,66,0.4,32.4
139,2020-7-28 19,6,20,26,12,41,0.5,32.1
140,2020-7-28 20,7,22,26,10,21,0.4,32.0
141,2020-7-28 21,8,19,32,7,18,0.4,31.8
142,2020-7-28 22,8,19,22,3,15,0.4,31.3
143,2020-7-28 23,8,15,22,-1,17,0.4,30.7
144,2020-7-29 0,8,19,17,-1,13,0.4,30.3
145,2020-7-29 1,9,18,13,3,12,0.4,30.1
146,2020-7-29 2,9,18,16,2,10,0.4,30.0
147,2020-7-29 3,9,15,15,0,13,0.4,29.9
148,2020-7-29 4,8,22,10,3,6,0.4,29.7
149,2020-7-29 5,8,14,19,1,15,0.3,29.5
150,2020-7-29 6,7,12,14,0,17,0.4,29.5
151,2020-7-29 7,10,12,10,1,21,0.4,30.6
152,2020-7-29 8,10,14,12,3,27,0.4,31.5
153,2020-7-29 9,8,14,22,3,46,0.4,32.2
154,2020-7-29 10,8,13,24,5,84,0.4,33.1
155,2020-7-29 11,7,10,20,8,111,0.4,34.2
156,2020-7-29 12,7,8,25,10,122,0.3,35.0
157,2020-7-29 13,7,9,22,7,138,0.3,35.9
158,2020-7-29 14,7,10,21,10,152,0.3,36.5
159,2020-7-29 15,6,12,29,9,170,0.3,37.0
160,2020-7-29 16,7,19,30,14,148,0.4,35.5
161,2020-7-29 17,8,19,56,13,111,0.4,33.4
162,2020-7-29 18,7,23,47,17,97,0.5,33.0
163,2020-7-29 19,7,37,45,11,50,0.4,31.8
164,2020-7-29 20,8,61,46,11,28,0.5,31.0
165,2020-7-29 21,7,53,38,12,38,0.5,30.5
166,2020-7-29 22,7,58,46,17,27,0.5,30.2
167,2020-7-29 23,8,59,47,16,20,0.6,29.9
168,2020-7-30 0,8,50,51,16,16,0.6,29.9
169,2020-7-30 1,8,43,48,15,13,0.5,29.6
170,2020-7-30 2,7,42,46,24,10,0.5,29.4
171,2020-7-30 3,8,41,46,14,8,0.5,29.0
172,2020-7-30 4,9,41,35,14,3,0.5,28.8
173,2020-7-30 5,8,38,32,12,3,0.4,28.8
174,2020-7-30 6,11,28,38,9,7,0.4,29.1
175,2020-7-30 7,9,24,34,9,22,0.5,29.8
176,2020-7-30 8,10,22,36,7,36,0.5,30.6
177,2020-7-30 9,9,19,34,4,58,0.4,31.8
178,2020-7-30 10,8,19,26,4,67,0.4,32.6
179,2020-7-30 11,7,14,25,5,111,0.4,33.2
180,2020-7-30 12,7,14,24,15,152,0.4,34.2
181,2020-7-30 13,7,14,25,13,181,0.4,34.8
182,2020-7-30 14,7,13,35,14,171,0.3,35.3
183,2020-7-30 15,7,18,38,13,157,0.4,35.0
184,2020-7-30 16,6,15,49,11,102,0.3,33.6
185,2020-7-30 17,6,20,24,7,80,0.4,32.8
186,2020-7-30 18,7,26,25,6,70,0.4,32.6
187,2020-7-30 19,7,27,39,6,54,0.4,32.6
188,2020-7-30 20,6,23,34,12,35,0.4,30.5
189,2020-7-30 21,6,47,24,7,10,0.5,30.2
190,2020-7-30 22,7,52,29,15,7,0.5,30.6
191,2020-7-30 23,7,34,41,8,31,0.4,30.4
192,2020-7-31 0,7,33,39,9,31,0.4,30.2
193,2020-7-31 1,7,38,33,12,20,0.5,30.0
194,2020-7-31 2,8,40,40,17,12,0.5,29.9
195,2020-7-31 3,10,38,43,15,14,0.5,29.6
196,2020-7-31 4,10,41,43,11,13,0.5,29.2
197,2020-7-31 5,8,40,39,7,11,0.4,28.9
198,2020-7-31 6,7,37,30,12,14,0.4,28.9
199,2020-7-31 7,9,24,30,9,30,0.4,29.8
200,2020-7-31 8,9,21,35,16,38,0.5,30.4
201,2020-7-31 9,8,26,39,12,35,0.5,30.1
202,2020-7-31 10,8,30,46,16,33,0.5,29.0
203,2020-7-31 11,7,16,42,17,68,0.4,30.5
204,2020-7-31 12,6,13,33,8,78,0.4,30.6
205,2020-7-31 13,6,13,25,10,79,0.4,31.2
206,2020-7-31 14,6,9,24,9,61,0.3,31.2
207,2020-7-31 15,6,13,14,3,62,0.4,31.4
208,2020-7-31 16,6,12,23,1,56,0.4,29.8
209,2020-7-31 17,6,14,22,-1,49,0.4,30.0
210,2020-7-31 18,6,15,25,-3,30,0.4,29.2
211,2020-7-31 19,6,16,14,0,21,0.4,28.2
212,2020-7-31 20,6,19,15,4,14,0.4,27.0
213,2020-7-31 21,6,18,10,3,15,0.4,27.5
214,2020-7-31 22,6,17,11,0,15,0.4,27.6
215,2020-7-31 23,7,17,13,-3,14,0.4,27.8
216,2020-8-1 0,7,13,15,-1,18,0.4,27.9
217,2020-8-1 1,7,13,9,4,16,0.3,27.4
218,2020-8-1 2,6,17,11,2,13,0.3,26.9
219,2020-8-1 3,7,17,8,-2,11,0.4,27.0
220,2020-8-1 4,8,13,12,4,16,0.3,27.6
221,2020-8-1 5,7,16,11,2,13,0.3,27.3
222,2020-8-1 6,9,15,9,-1,11,0.3,27.0
223,2020-8-1 7,7,14,11,1,18,0.4,27.8
224,2020-8-1 8,7,12,15,-1,30,0.4,28.8
225,2020-8-1 9,7,15,18,-1,26,0.4,28.3
226,2020-8-1 10,6,17,11,1,28,0.4,28.2
227,2020-8-1 11,6,16,14,7,37,0.4,28.4
228,2020-8-1 12,6,16,16,5,66,0.4,29.0
229,2020-8-1 13,6,16,21,4,56,0.4,27.7
230,2020-8-1 14,5,18,14,3,40,0.4,27.7
231,2020-8-1 15,6,20,11,1,30,0.4,27.1
232,2020-8-1 16,6,17,11,1,34,0.4,27.1
233,2020-8-1 17,5,19,14,-3,32,0.4,25.7
234,2020-8-1 18,6,31,10,0,18,0.5,26.2
235,2020-8-1 19,6,33,16,1,14,0.5,26.5
236,2020-8-1 20,6,28,19,6,17,0.4,26.6
237,2020-8-1 21,6,25,14,5,17,0.4,26.6
238,2020-8-1 22,6,26,21,3,16,0.4,26.8
239,2020-8-1 23,6,22,17,4,19,0.4,26.2
240,2020-8-2 0,6,23,9,2,13,0.4,26.2
241,2020-8-2 1,6,18,11,1,15,0.4,26.4
242,2020-8-2 2,6,18,12,1,14,0.4,26.4
243,2020-8-2 3,6,15,10,2,16,0.4,26.2
244,2020-8-2 4,6,17,10,-1,16,0.4,26.0
245,2020-8-2 5,6,17,13,-4,18,0.4,25.9
246,2020-8-2 6,6,19,9,0,22,0.4,25.8
247,2020-8-2 7,6,21,8,-1,26,0.4,25.9
248,2020-8-2 8,6,22,11,1,34,0.5,26.4
249,2020-8-2 9,6,18,15,2,46,0.5,27.4
250,2020-8-2 10,6,17,16,2,61,0.5,28.8
251,2020-8-2 11,6,18,12,11,87,0.5,29.5
252,2020-8-2 12,6,12,20,6,80,0.4,28.4
253,2020-8-2 13,5,10,19,5,51,0.4,26.1
254,2020-8-2 14,5,15,6,3,58,0.5,27.9
255,2020-8-2 15,6,20,14,-2,70,0.5,28.2
256,2020-8-2 16,5,20,20,-1,59,0.5,26.6
257,2020-8-2 17,6,33,17,3,53,0.6,27.0
258,2020-8-2 18,5,31,28,8,40,0.6,26.7
259,2020-8-2 19,6,41,19,11,18,0.7,27.1
260,2020-8-2 20,6,42,32,10,12,0.6,27.3
261,2020-8-2 21,6,32,26,13,15,0.5,27.3
262,2020-8-2 22,6,28,27,9,16,0.5,27.4
263,2020-8-2 23,6,32,21,6,10,0.5,27.1
264,2020-8-3 0,6,25,24,7,14,0.5,26.9
265,2020-8-3 1,6,19,17,5,20,0.4,26.7
266,2020-8-3 2,6,23,12,3,13,0.4,26.6
267,2020-8-3 3,6,19,18,5,17,0.4,26.4
268,2020-8-3 4,7,18,13,4,19,0.4,26.1
269,2020-8-3 5,6,20,11,3,18,0.3,26.0
270,2020-8-3 6,8,27,7,-2,7,0.4,26.0
271,2020-8-3 7,6,30,9,-3,9,0.5,26.3
272,2020-8-3 8,6,26,13,1,15,0.5,26.8
273,2020-8-3 9,6,26,14,1,21,0.5,27.6
274,2020-8-3 10,6,22,13,4,33,0.5,28.0
275,2020-8-3 11,6,18,16,7,47,0.4,28.7
276,2020-8-3 12,6,15,10,2,52,0.5,28.2
277,2020-8-3 13,6,17,12,10,49,0.4,27.8
278,2020-8-3 14,5,24,10,5,49,0.5,27.3
279,2020-8-3 15,5,24,9,0,56,0.4,26.5
280,2020-8-3 16,6,32,14,1,49,0.5,27.4
281,2020-8-3 17,5,35,13,4,45,0.6,27.4
282,2020-8-3 18,6,43,20,7,33,0.7,27.3
283,2020-8-3 19,6,47,26,10,19,0.7,27.2
284,2020-8-3 20,6,43,30,10,11,0.6,27.1
285,2020-8-3 21,6,39,21,6,11,0.6,27.0
286,2020-8-3 22,6,33,21,3,17,0.5,27.1
287,2020-8-3 23,6,39,16,3,9,0.5,27.2
288,2020-8-4 0,6,43,17,4,5,0.5,27.1
289,2020-8-4 1,7,46,17,3,3,0.5,26.8
290,2020-8-4 2,7,44,20,1,3,0.5,26.8
291,2020-8-4 3,7,37,22,6,6,0.5,26.9
292,2020-8-4 4,7,25,22,6,15,0.5,26.9
293,2020-8-4 5,7,33,18,9,7,0.5,26.8
294,2020-8-4 6,7,32,11,8,7,0.5,26.9
295,2020-8-4 7,7,34,18,6,8,0.6,27.3
296,2020-8-4 8,7,29,28,6,18,0.6,27.8
297,2020-8-4 9,8,21,25,7,43,0.6,28.9
298,2020-8-4 10,13,20,24,10,66,0.5,30.1
299,2020-8-4 11,11,21,26,13,100,0.5,30.9
300,2020-8-4 12,8,23,33,14,141,0.5,31.4
301,2020-8-4 13,7,17,41,21,168,0.5,31.9
302,2020-8-4 14,6,15,33,16,130,0.4,32.3
303,2020-8-4 15,6,17,23,4,91,0.4,32.0
304,2020-8-4 16,6,13,26,2,71,0.4,30.9
305,2020-8-4 17,7,17,19,1,67,0.4,29.8
306,2020-8-4 18,6,23,23,3,45,0.5,29.7
307,2020-8-4 19,6,23,22,6,26,0.5,29.3
308,2020-8-4 20,6,20,16,4,23,0.4,28.9
309,2020-8-4 21,5,18,14,2,23,0.4,28.6
310,2020-8-4 22,6,18,12,4,21,0.4,28.5
311,2020-8-4 23,6,18,7,0,19,0.4,28.1
312,2020-8-5 0,6,24,11,-3,11,0.4,27.8
313,2020-8-5 1,6,20,9,1,12,0.4,27.5
314,2020-8-5 2,6,19,16,0,12,0.4,27.6
315,2020-8-5 3,6,18,12,-1,14,0.4,27.5
316,2020-8-5 4,7,21,14,0,11,0.3,27.5
317,2020-8-5 5,6,23,10,0,9,0.3,27.7
318,2020-8-5 6,10,27,9,0,5,0.4,27.6
319,2020-8-5 7,8,30,14,-1,6,0.5,27.8
320,2020-8-5 8,7,26,17,-3,8,0.6,26.9
321,2020-8-5 9,6,23,12,-1,12,0.5,26.3
322,2020-8-5 10,6,26,16,4,13,0.6,26.6
323,2020-8-5 11,6,28,15,6,13,0.6,27.1
324,2020-8-5 12,6,22,22,5,27,0.6,27.9
325,2020-8-5 13,9,17,23,6,40,0.5,27.9
326,2020-8-5 14,8,25,11,6,39,0.5,28.3
