,place,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,A,2020-7-23 0,29.889,304.016,0.0188705,66.7409,4.16382,162.577,0,0.0382011,769.903,100.665,20.1377,0.94818,428.278,0,0,2.40151,20.9208,8.17336,5.27729,8.78723,0.124491
1,A,2020-7-23 1,29.8736,303.739,0.0175562,62.1551,4.65267,171.978,0,0.0588922,682.085,100.671,15.8333,1.14987,427.531,0,0,1.44834,14.8144,6.49054,4.33106,12.7453,0.109056
2,A,2020-7-23 2,29.6471,303.419,0.0178738,64.176,4.10031,172.013,0,0.0650386,627.078,100.678,12.3363,1.01616,427.428,0,0,1.27161,13.9154,6.86679,4.40045,12.2296,0.105957
3,A,2020-7-23 3,29.4555,303.419,0.0189354,68.7958,2.44317,168.135,0.0472242,1,636.497,100.675,11.1215,1.89003,442.472,0,0,0.467429,11.1535,5.259,3.35261,13.78,0.101764
4,A,2020-7-23 4,28.5189,302.987,0.0198813,76.5791,2.57759,207.884,8.26002,0.935074,490.162,100.714,19.8524,6.53753,458.394,0,0,0.574856,13.9989,6.05979,3.59303,9.96333,0.104536
5,A,2020-7-23 5,28.3099,302.312,0.0200875,78.4039,1.50808,201.199,2.73946,0.786406,362.702,100.738,9.94128,2.05434,429.248,0,0,1.01848,19.7204,10.8618,6.19591,3.65499,0.12259
6,A,2020-7-23 6,28.7843,302.383,0.0190654,72.2798,3.05125,196.949,0,0.378593,378.039,100.772,6.92296,3.8168,429.953,0,0,1.76498,21.7531,13.4304,7.64338,3.38709,0.14437
7,A,2020-7-23 7,29.1915,304.598,0.0182142,67.3537,2.55062,208.322,0,0.18994,591.17,100.801,36.2961,13.2017,426.906,140.901,169.311,2.09068,17.9904,12.271,7.1784,9.33926,0.151683
8,A,2020-7-23 8,30.0662,308.409,0.0169427,59.3674,2.54354,206.843,0,0.18341,832.749,100.822,96.0534,26.9656,426.406,336.184,403.967,2.8319,15.3822,10.3725,6.25004,15.3661,0.146215
9,A,2020-7-23 9,30.0662,308.409,0.0169427,59.3674,2.54354,206.843,0,0.18341,832.749,100.822,96.0534,26.9656,426.406,336.184,403.967,4.07106,15.2313,9.35186,5.97863,24.8758,0.140817
10,A,2020-7-23 10,31.2153,312.438,0.0154679,50.5071,2.60394,190.184,0,0.0941508,1008.19,100.838,164.461,39.3814,427.465,519.657,624.434,4.19432,15.5359,8.74157,5.96882,44.4317,0.134563
