,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,2020-7-23 0,29.8013,303.969,0.0186613,66.4151,4.74343,168.368,0,0.0760821,651.151,100.746,23.2975,1.01285,429.788,0,0,1.51277,11.2691,5.80022,3.64144,17.7028,0.0954841
1,2020-7-23 1,29.6683,303.67,0.0186395,66.8868,4.43134,168.069,0,0.166019,639.437,100.749,18.2995,0.969254,430.713,0,0,0.894002,9.28158,6.15983,3.97847,18.0581,0.0916438
2,2020-7-23 2,29.4979,303.341,0.0189065,68.5624,4.7703,167.315,0,0.158138,507.87,100.748,15.6707,0.926547,430.336,0,0,0.677099,8.29501,6.30738,4.07845,17.7095,0.0899468
3,2020-7-23 3,29.2256,302.991,0.0198132,73.0726,3.99873,182.342,0.444259,0.775674,558.269,100.75,12.0198,4.0069,433.899,0,0,0.657746,10.5889,4.93896,3.05781,14.2194,0.094788
4,2020-7-23 4,28.6577,302.598,0.0201761,77.1057,2.93413,197.937,0.580704,0.702988,421.286,100.786,12.3518,3.09801,433.452,0,0,1.24541,19.8969,6.55277,3.94481,3.91256,0.112664
5,2020-7-23 5,28.0999,301.994,0.0200999,79.5426,0.548073,248.685,0,0.648783,181.056,100.811,8.69924,1.30938,430.935,0,0,1.52615,21.4613,9.11427,5.29054,0.73666,0.120649
6,2020-7-23 6,28.3229,302.05,0.019703,76.9286,2.02495,238.005,0.640615,0.619846,146.182,100.849,6.73821,2.21232,429.51,0,0,2.10232,18.8457,8.80143,4.97507,4.51029,0.123184
7,2020-7-23 7,29.072,304.576,0.0185976,69.3355,1.99339,217.868,0,0.687219,601.827,100.876,33.4331,11.518,427.876,137.794,165.576,2.69045,12.9866,11.2831,6.55751,12.747,0.130109
8,2020-7-23 8,30.1209,308.435,0.0167408,58.5055,2.36713,197.132,0,0.500505,749.41,100.893,92.2405,25.5826,428.719,327.453,393.477,3.07727,11.2361,10.2083,6.34702,18.5324,0.136074
9,2020-7-23 9,30.1209,308.435,0.0167408,58.5055,2.36713,197.132,0,0.500505,749.41,100.893,92.2405,25.5826,428.719,327.453,393.477,3.30117,10.2064,10.3775,6.64585,26.8754,0.131574
10,2020-7-23 10,31.1464,312.364,0.0156119,51.2322,2.77123,191.041,0,0.222987,875.178,100.911,168.172,38.0799,428.209,520.905,625.933,3.00929,7.88435,8.98972,6.06377,45.8018,0.119285
11,2020-7-23 11,32.1536,315.812,0.0146987,45.3368,2.86271,180.143,0,0.0516923,1150.62,100.891,234.441,48.5428,430.446,672.881,808.552,2.52932,5.90585,8.25248,5.90721,75.1102,0.118091
12,2020-7-23 12,33.217,318.53,0.0137083,39.6093,3.32726,174.467,0,0.0383916,1252.17,100.859,295.965,58.0783,432.322,787.284,946.021,1.87879,4.11517,6.56635,4.91482,86.8525,0.107877
13,2020-7-23 13,34.1959,320.633,0.0132436,36.0326,3.49183,178.516,0,0.0195526,1465.79,100.808,335.266,63.8164,434.905,853.762,1025.9,1.50878,3.63548,6.12759,4.67585,89.6754,0.103108
14,2020-7-23 14,35.1417,322.139,0.0126079,32.3627,3.52246,184.905,0,0,1620.39,100.732,352.979,66.5492,430.827,880.045,1057.49,1.32185,3.54916,5.9897,4.61235,97.2694,0.105271
15,2020-7-23 15,35.8819,322.418,0.012773,31.3279,3.76402,183.515,0,0,1812.17,100.668,348.881,64.3293,433.48,829.245,996.443,1.58467,4.10354,6.22126,4.80053,104.022,0.11179
